,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
440,-47.45032983,-22.87954729,0.0,255:255:255
441,-47.61293608,-22.88091464,0.0,255:255:255
442,-47.90368087,-22.26100003,9.0,91:91:255
443,-47.45619128,-22.2784342,0.0,255:255:255
444,-47.54470668,-22.3928173,1.0,255:237:237
445,-47.62716379,-22.9165704,5.0,255:164:164
446,-47.28324687,-22.48985268,2.0,218:218:255
447,-47.51854422,-22.72407377,4.0,255:183:183
448,-47.14617894,-22.16032561,14.0,0:0:255
449,-47.91608613,-22.60352163,12.0,36:36:255
450,-47.2449985,-22.26235596,1.0,255:237:237
451,-47.36404985,-22.23066651,4.0,255:183:183
452,-47.77091247,-22.78566748,2.0,218:218:255
453,-47.33978747,-22.67830798,1.0,236:236:255
454,-47.18958009,-22.39020596,11.0,255:55:55
455,-47.5608857,-22.97067607,3.0,255:201:201
456,-47.74284148,-22.94338694,3.0,200:200:255
457,-47.27393625,-22.80569011,4.0,255:183:183
458,-47.71851386,-22.88673504,0.0,255:255:255
459,-47.90772131,-22.15513317,10.0,72:72:255
460,-47.98441662,-22.06502572,3.0,200:200:255
461,-47.30706496,-22.58542089,8.0,109:109:255
462,-47.77088948,-22.3923547,11.0,255:55:55
463,-47.50543824,-22.81104609,6.0,145:145:255
464,-47.94613632,-22.47355864,3.0,255:201:201
465,-47.83148441,-22.30937122,11.0,54:54:255
466,-47.78323087,-22.49654053,2.0,255:219:219
467,-47.63801718,-22.2799298,0.0,255:255:255
468,-47.72372158,-22.93280007,6.0,145:145:255
469,-47.08028855,-22.54310961,8.0,255:110:110
470,-47.89917034,-22.75716257,0.0,255:255:255
471,-47.82147004,-22.02667209,3.0,255:201:201
472,-47.59595666,-22.03789558,1.0,236:236:255
473,-47.51578525,-22.6520356,2.0,255:219:219
474,-47.66173788,-22.21219302,10.0,255:73:73
475,-47.7611073,-22.20563245,7.0,255:128:128
476,-47.50578808,-22.43685226,2.0,218:218:255
477,-47.8438632,-22.13061263,9.0,91:91:255
478,-47.6643966,-22.56788771,1.0,255:237:237
479,-47.09976897,-22.06644024,8.0,109:109:255
480,-47.21182198,-22.79804484,16.0,255:0:0
481,-47.84650276,-22.51143972,14.0,255:0:0
482,-47.65043311,-22.23358769,4.0,182:182:255
483,-47.01732441,-22.28428914,20.0,255:0:0
484,-47.62583138,-22.30972482,10.0,255:73:73
485,-47.76996149,-22.60677332,3.0,200:200:255
486,-47.85132505,-22.86159509,5.0,255:164:164
487,-47.40105202,-22.52310836,2.0,255:219:219
488,-47.00259953,-22.97784171,7.0,255:128:128
489,-47.05508818,-22.88721575,8.0,255:110:110
490,-47.49501677,-22.39954201,0.0,255:255:255
491,-47.31560771,-22.85494366,1.0,236:236:255
492,-47.2990795,-22.56916995,4.0,182:182:255
493,-47.67159549,-22.83980402,0.0,255:255:255
494,-47.43076968,-22.43381635,0.0,255:255:255
495,-47.40022081,-22.70094632,7.0,255:128:128
496,-47.91751327,-22.79715871,2.0,255:219:219
497,-47.43967666,-22.72046785,3.0,200:200:255
498,-47.47892424,-22.31058168,1.0,255:237:237
499,-47.07143108,-22.87991133,14.0,255:0:0
500,-47.79827127,-22.66554479,6.0,255:146:146
501,-47.2566877,-22.16420744,9.0,255:92:92
502,-47.17639957,-22.38350393,12.0,255:37:37
503,-47.64589059,-22.56632143,2.0,218:218:255
504,-47.14856589,-22.24517772,4.0,255:183:183
505,-47.65721018,-22.72142486,2.0,255:219:219
506,-47.04132037,-22.4253737,10.0,255:73:73
507,-47.7751627,-22.90395654,4.0,182:182:255
508,-47.05805533,-22.8664113,10.0,255:73:73
509,-47.23201157,-22.522308,3.0,200:200:255
510,-47.79643411,-22.62841284,13.0,18:18:255
511,-47.63059668,-22.89156212,1.0,236:236:255
512,-47.54625761,-22.64465405,2.0,218:218:255
513,-47.02245839,-22.54531672,14.0,255:0:0
514,-47.37896998,-22.53232637,6.0,255:146:146
515,-47.74065497,-22.66770135,0.0,255:255:255
516,-47.75358354,-22.63020214,1.0,236:236:255
517,-47.54591171,-22.38358739,0.0,255:255:255
518,-47.21667971,-22.19037888,9.0,91:91:255
519,-47.08680912,-22.45223791,4.0,255:183:183
520,-47.68099299,-22.97338911,0.0,255:255:255
521,-47.84552312,-22.10800902,2.0,218:218:255
522,-47.59274512,-22.89533682,4.0,182:182:255
523,-47.25046456,-22.14702417,0.0,255:255:255
524,-47.11547551,-22.43858784,5.0,255:164:164
525,-47.19250277,-22.85201139,12.0,255:37:37
526,-47.86717232,-22.02554829,1.0,255:237:237
527,-47.98736265,-22.71904827,3.0,200:200:255
528,-47.77182497,-22.08002761,6.0,145:145:255
529,-47.39507619,-22.76554719,4.0,255:183:183
530,-47.51472481,-22.17637786,3.0,255:201:201
