,aw3d30_wgs84_Araca,aw3d30_slope_Araca
672,NaN,NaN
673,NaN,NaN
674,42.05256573,5.705968
675,56.10768346,1.76622
676,44.07929403,0.00119377
677,NaN,NaN
678,46.56861236,1.313783
679,34.90666114,0.0011045
680,NaN,NaN
681,50.33091629,2.92813
682,54.8341057,0.731934
683,67.14338075,1.03629
684,67.08663552,1.357827
685,69.09119606,0.6583175
686,80.84456699,0.4660755
687,NaN,NaN
688,NaN,NaN
689,NaN,NaN
690,73.02549294,1.390705
691,NaN,NaN
692,NaN,NaN
693,NaN,NaN
694,NaN,NaN
695,NaN,NaN
696,NaN,NaN
697,NaN,NaN
698,NaN,NaN
699,NaN,NaN
700,NaN,NaN
701,NaN,NaN
702,74.36469096,6.224628
703,87.65466601,2.944813
704,62.14417143,2.095581
705,NaN,NaN
706,32.84229086,2.394773
707,36.05269166,1.921924
708,38.45720679,1.67244
709,40.76623741,1.313424
710,73.20457847,1.774134
711,NaN,NaN
712,52.38447296,3.351298
713,NaN,NaN
714,59.85853837,1.040432
715,206.61072642,24.10927
716,57.65676285,1.040412
717,NaN,NaN
718,59.97104375,0.3274796
719,47.92038605,2.360121
720,NaN,NaN
721,70.4594775,0.9276317
722,32.09863246,1.970182
723,56.13847906,1.678434
724,NaN,NaN
725,44.4880197,4.570089
726,48.49021954,2.650945
727,36.46314616,2.814773
728,NaN,NaN
729,NaN,NaN
730,NaN,NaN
731,52.95875403,1.865011
732,78.64389306,1.313871
733,84.81238935,5.438014
734,70.55595433,1.315068
735,46.26532448,1.189014
736,393.76396368,10.41811
737,184.48379004,18.4132
738,NaN,NaN
739,36.54335223,1.647953
740,51.58954236,1.036189
741,NaN,NaN
742,NaN,NaN
743,NaN,NaN
744,38.93764212,3.525947
745,35.82731418,0.932362
746,743.82195161,12.40954
747,1083.31305135,19.15432
748,NaN,NaN
749,46.09100344,3.99385
750,NaN,NaN
751,NaN,NaN
752,32.83600505,1.313456
753,NaN,NaN
754,77.54283512,0.7341745
755,41.8203334,0.3280621
756,36.02324938,1.853375
757,58.29848346,1.388436
758,NaN,NaN
759,NaN,NaN
760,57.88531072,0.9322619
761,31.94995601,3.260654
762,NaN,NaN
763,33.1481648,0.3296147
764,47.5456367,7.930655
765,57.87351494,3.031221
766,NaN,NaN
767,NaN,NaN
768,55.88290273,2.62807
769,NaN,NaN
770,45.03636499,0.9275547
771,NaN,NaN
772,NaN,NaN
773,52.45085476,2.095687
774,47.48610799,2.110822
775,NaN,NaN
776,55.05478021,1.864454
777,52.0460838,3.031941
778,59.86127627,1.999739
779,NaN,NaN
780,35.26517122,NaN
781,53.18768955,6.723498
782,NaN,NaN
783,NaN,NaN
784,65.62422016,0.4666546
785,75.43404182,1.642336
786,NaN,NaN
787,34.15477848,1.911122
788,NaN,NaN
789,45.23556722,4.06456
790,54.4218737,2.494345
791,64.87036777,2.074532
792,NaN,NaN
793,43.4126218,2.299986
794,NaN,NaN
795,1237.22906581,3.8173
796,65.2770928,0.00119773
797,NaN,NaN
798,39.38619627,0.4666303
799,56.67909013,2.703009
800,103.81834028,0.9865034
801,NaN,NaN
802,59.1267754,3.47911
803,54.57871144,3.292991
804,78.18241624,2.507332
805,1081.27337777,11.4242
806,38.8685598,1.03817
807,458.87228509,12.2977
808,78.5262619,0.7374989
809,53.04565228,3.282388
810,NaN,NaN
811,NaN,NaN
812,41.7637778,0.3292584
813,65.97424493,0.737448
814,85.57044088,2.776371
815,NaN,NaN
816,54.78633482,1.764222
817,NaN,NaN
818,62.02971512,3.421927
819,57.96788415,1.188539
820,50.97305693,2.000139
821,74.83467612,0.6563511
822,46.82956959,4.098511
823,NaN,NaN
824,51.56168628,1.357879
825,63.50545069,1.036303
826,57.62848549,2.082717
827,NaN,NaN
828,50.61669023,2.196813
829,60.89625968,1.464646
830,NaN,NaN
831,NaN,NaN
832,53.75494209,0.9322445
833,60.84104869,2.626814
834,71.55177342,3.702133
835,80.50487429,3.298438
836,44.63777094,1.773571
837,35.70811179,0.00107234
838,NaN,NaN
839,60.72949135,2.330781
840,68.65613069,0.4666546
841,31.14049953,0.9274613
842,NaN,NaN
843,58.46091269,2.817288
844,NaN,NaN
845,NaN,NaN
846,NaN,NaN
847,NaN,NaN
848,86.63820246,1.638853
849,254.31833187,14.77587
850,43.7584192,0.9328972
851,43.5029575,1.182266
852,NaN,NaN
853,52.69464774,2.110217
854,32.89372448,0.4621595
855,64.88880755,3.628405
856,62.18448061,1.648244
857,56.72034781,0.3292744
858,NaN,NaN
859,35.20433142,0.3292368
860,33.96929124,1.353452
861,66.66239326,0.00124592
862,61.20593354,1.182404
863,48.609136,1.351471
864,NaN,NaN
865,32.77830581,0.3292203
866,40.17513171,0.7368619
867,69.6316732,2.778619
868,53.73297629,0.7361259
869,NaN,NaN
870,34.0399726,4.634657
871,32.18710612,2.80057
872,67.90933076,1.911197
873,38.18861931,0.4666027
874,64.40161911,2.626887
875,NaN,NaN
876,NaN,NaN
877,37.12883895,0.7361692
878,64.01565189,0.6563183
879,NaN,NaN
880,32.95899925,1.672138
881,71.48869685,1.864982
882,69.22858131,1.85126
883,360.66004454,19.38243
884,47.69884613,5.30685
885,49.25417323,0.9323038
886,57.21772256,0.7317197
887,NaN,NaN
888,NaN,NaN
889,57.49752104,5.559988
890,33.93580897,0.9849106
891,NaN,NaN
892,69.9412798,1.921329
893,41.6418193,10.51329
894,43.94643912,1.315345
895,52.92476802,1.643453
896,43.73836085,7.750462
897,54.3628012,0.734023
898,NaN,NaN
899,NaN,NaN
900,110.75163414,8.402932
901,58.39928706,2.000099
902,NaN,NaN
903,NaN,NaN
904,NaN,NaN
905,NaN,NaN
906,30.27982126,NaN
907,NaN,NaN
908,33.48721363,1.853514
909,50.748106,NaN
910,55.70294484,1.351519
911,69.17080971,2.555714
912,NaN,NaN
913,1252.21447257,8.181838
914,34.23755031,1.911057
915,23.4530585,0.00115998
916,75.50871291,1.038359
917,43.14019379,0.4667339
918,74.16101761,3.297966
919,358.46353559,25.85979
920,NaN,NaN
921,91.58451981,1.911216
922,72.9550112,3.107361
923,33.95590347,2.09764
924,46.17678585,1.399165
925,74.04228415,1.036052
926,34.03723769,1.180065
927,81.37884189,2.976186
928,50.59584721,1.766255
929,NaN,NaN
930,51.77601295,1.313779
931,NaN,NaN
932,33.50501833,3.121934
933,55.80521455,0.9329461
934,80.78548944,1.038206
935,53.86629184,0.6561295
936,33.88209315,1.398496
937,NaN,NaN
938,35.78797411,2.298444
939,73.81750435,0.7339258
940,53.18493727,0.731682
941,NaN,NaN
942,69.89110155,0.00115089
943,53.65281692,1.399116
944,NaN,NaN
945,NaN,NaN
946,34.73350019,0.7338037
947,46.04941511,2.001556
948,61.42048413,1.356651
949,43.61197821,9.516604
950,66.25006726,5.13651
951,NaN,NaN
952,NaN,NaN
953,1103.23110054,15.77317
954,NaN,NaN
955,NaN,NaN
956,NaN,NaN
957,47.08589217,2.072618
958,44.83962037,2.074473
959,55.61895793,1.921983
960,56.59770213,NaN
961,NaN,NaN
962,NaN,NaN
963,41.23097231,4.445919
964,NaN,NaN
965,NaN,NaN
966,NaN,NaN
967,34.52427453,1.47412
968,33.27647222,4.590751
969,47.39077971,0.3297247
970,NaN,NaN
971,NaN,NaN
972,50.92132446,2.626831
973,47.41577162,0.3280971
974,85.6235557,0.7369418
975,57.09206199,0.9849461
976,43.88850913,4.053334
977,56.14025215,1.399095
978,42.6686128,2.654915
979,NaN,NaN
980,100.65822848,1.188028
981,58.95266383,1.038193
982,NaN,NaN
983,NaN,NaN
984,61.39506533,2.000985
985,1105.27807912,16.84935
986,61.9039942,2.655445
987,34.9314983,0.3296802
988,NaN,NaN
989,131.59940222,8.684516
990,NaN,NaN
991,53.33221628,0.001256
992,NaN,NaN
993,NaN,NaN
994,NaN,NaN
995,48.62436564,1.648229
996,NaN,NaN
997,168.07471898,30.22512
998,NaN,NaN
999,NaN,NaN
1000,NaN,NaN
1001,NaN,NaN
1002,42.16295912,7.931213
1003,47.87389607,3.342848
1004,38.26767303,6.007111
1005,NaN,NaN
1006,NaN,NaN
1007,51.82632382,2.074714
1008,NaN,NaN
1009,NaN,NaN
1010,37.03245152,0.3280869
1011,38.68698856,0.4660694
1012,12.76331477,34.3466
1013,32.86451023,0.00108625
1014,66.20461738,1.036279
1015,NaN,NaN
1016,50.35338131,2.000903
1017,68.70931078,1.038092
1018,55.24287859,1.315387
1019,1139.28095506,3.725288
1020,70.36991191,1.390747
1021,67.013966,2.494401
1022,60.51960461,0.7367535
1023,NaN,NaN
1024,NaN,NaN
1025,53.59825032,0.7339321
1026,42.16773948,0.9330125
1027,NaN,NaN
1028,NaN,NaN
1029,31.91629512,0.984941
1030,49.1120303,0.00119819
1031,51.3969682,1.911141
1032,33.99149358,0.656737
1033,64.94718162,2.494533
1034,NaN,NaN
1035,58.78783652,1.313788
1036,49.82435048,1.638829
1037,44.13941089,4.448246
1038,NaN,NaN
1039,41.82324334,6.896253
1040,37.22563424,1.865002
1041,63.55845699,0.3275987
1042,29.18639701,1.6486
1043,56.73883458,3.814441
1044,NaN,NaN
1045,101.49679339,5.849841
1046,81.05317124,0.4621526
1047,NaN,NaN
1048,134.85741915,21.76421
1049,NaN,NaN
1050,NaN,NaN
1051,NaN,NaN
1052,NaN,NaN
1053,48.86012485,6.913585
1054,NaN,NaN
1055,72.72022877,6.232764
1056,NaN,NaN
1057,NaN,NaN
1058,49.33274382,1.39847
1059,40.75698184,1.641708
1060,44.95666469,3.816895
1061,NaN,NaN
1062,83.80279698,0.6567329
1063,71.95433197,2.196743
1064,NaN,NaN
1065,NaN,NaN
1066,NaN,NaN
1067,46.26189432,2.300022
1068,NaN,NaN
1069,60.57074816,3.421915
1070,NaN,NaN
1071,NaN,NaN
1072,71.96144059,2.325395
1073,54.96307075,1.040518
1074,59.03794758,1.313214
1075,40.525343,5.895618
1076,74.28770426,1.474067
1077,62.85848306,1.315051
1078,NaN,NaN
1079,44.13856194,1.041508
1080,45.448208,2.555566
1081,NaN,NaN
1082,50.82146638,4.262946
1083,128.48833269,4.933881
1084,64.00668155,1.63657
1085,NaN,NaN
1086,55.48422828,2.095423
1087,38.03846711,0.00109865
1088,48.85253586,4.12195
1089,32.14677832,2.573855
1090,48.67415912,2.646428
1091,NaN,NaN
1092,60.56918924,1.315501
1093,37.83963687,1.18895
1094,61.68554246,2.376502
1095,30.14676799,2.082105
1096,NaN,NaN
1097,25.29481155,0.00113778
1098,56.72442846,0.9865219
1099,NaN,NaN
1100,60.69451074,2.507621
1101,52.35221158,0.0012239
1102,334.47721365,11.9491
