,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
7145,-63.02281364,0.40908714,28.45453,28.51426,35.0,27.74553336,33.0,25.74553336,36.0,28.74623339
7146,-63.86030521,0.53199826,56.21309,55.88313,62.0,56.49599506,66.0,60.49599506,61.0,55.49664255
7147,-63.84725259,0.74932895,62.2397,62.07185,69.0,63.33852022,62.0,56.33852022,71.0,65.33930837
7148,-63.19807776,0.96700363,713.0131,715.923,731.0,723.85162179,702.0,694.85162179,NaN,NaN
7149,-63.30671585,0.80973444,106.3931,104.4235,123.0,116.1418928,120.0,113.1418928,NaN,NaN
7150,-63.08990963,0.51632347,45.31992,45.14672,54.0,46.8307339,42.0,34.8307339,NaN,NaN
7151,-63.40293667,0.18315531,31.81534,31.55839,39.0,32.66862144,34.0,27.66862144,NaN,NaN
7152,-63.98827143,0.08595133,42.1388,41.35701,49.0,44.10510219,35.0,30.10510219,46.0,41.10510219
7153,-63.71263441,0.07511426,49.06239,52.4072,61.0,55.44275997,53.0,47.44275997,57.0,51.44275997
7154,-63.22740168,0.36289092,34.70792,35.45276,45.0,38.19130889,57.0,50.19130889,44.0,37.19189254
7155,-63.76568069,0.8926106,73.37006,73.10935,79.0,73.07783359,75.0,69.07783359,79.0,73.0779821
7156,-63.20316809,0.89827116,879.5911,878.0272,879.0,871.89115264,859.0,851.89115264,NaN,NaN
7157,-63.91799324,0.77477806,69.04034,69.8525,76.0,70.48542105,70.0,64.48542105,77.0,71.48542105
7158,-63.11170839,0.91602325,230.4613,230.1593,235.0,227.69950797,217.0,209.69950797,NaN,NaN
7159,-63.00114936,0.75397082,55.89911,55.36637,65.0,57.54629819,49.0,41.54629819,NaN,NaN
7160,-63.11886229,0.25458167,31.3957,31.46776,40.0,33.02223274,55.0,48.02223274,44.0,37.02223274
7161,-63.40412012,0.15592102,31.23415,31.45292,37.0,30.68813251,33.0,26.68813251,NaN,NaN
7162,-63.27946591,0.95718536,809.8431,809.654,818.0,811.02078803,803.0,796.02078803,NaN,NaN
7163,-63.2110904,0.2511671,28.36286,28.01699,37.0,30.21723389,31.0,24.21723389,39.0,32.21723389
7164,-63.72187576,0.8192678,68.85271,66.9739,74.0,68.02039859,75.0,69.02039859,72.0,66.02054583
7165,-63.22488698,0.2493857,37.84651,37.34648,48.0,41.24691551,34.0,27.24691551,47.0,40.24765688
7166,-63.27152262,0.86554539,1020.181,1021.453,1028.0,1021.04451211,1019.0,1012.04451211,NaN,NaN
7167,-63.93060585,0.1544351,61.22369,60.96033,66.0,60.91227183,73.0,67.91227183,65.0,59.91246943
7168,-63.66325056,0.14151284,43.31499,41.6559,45.0,39.28231847,30.0,24.28231847,47.0,41.28231847
7169,-63.29325298,0.95173331,1037.677,1040.582,1042.0,1035.05139117,1026.0,1019.05139117,NaN,NaN
7170,-63.87807535,0.95525225,83.49199,79.7853,84.0,78.29166573,84.0,78.29166573,87.0,81.29243931
7171,-63.06822626,0.67609274,50.96812,51.99487,60.0,52.71431452,59.0,51.71431452,NaN,NaN
7172,-63.72842306,0.55831626,60.17841,58.82814,75.0,69.17817843,67.0,61.17817843,69.0,63.17833628
7173,-63.25383743,0.91271062,825.2878,822.8533,815.0,807.98811911,826.0,818.98811911,NaN,NaN
7174,-63.98235426,0.56831035,59.94387,60.63476,67.0,61.76153934,59.0,53.76153934,70.0,64.76171483
7175,-63.10672033,0.78398795,62.4296,63.03816,76.0,68.7453217,75.0,67.7453217,71.0,63.74600113
7176,-63.96665263,0.81434193,76.52962,75.57182,83.0,77.57361539,77.0,71.57361539,85.0,79.57378119
7177,-63.55222616,0.06344167,44.19423,42.59889,47.0,41.07847821,38.0,32.07847821,51.0,45.07911154
7178,-63.65415476,0.67005803,50.06583,51.6425,64.0,57.95043181,55.0,48.95043181,NaN,NaN
7179,-63.83610406,0.63146726,71.08984,69.4798,78.0,72.38110746,66.0,60.38110746,75.0,69.38110746
7180,-63.31691309,0.58312766,42.72291,42.08773,51.0,44.26914284,56.0,49.26914284,NaN,NaN
7181,-63.97605513,0.43032313,56.47931,57.37393,63.0,57.83494685,73.0,67.83494685,65.0,59.83494685
7182,-63.86288706,0.76051304,66.52927,68.65562,76.0,70.36811555,75.0,69.36811555,76.0,70.36827456
7183,-63.46648922,0.0904752,26.69253,26.45851,30.0,23.86707794,27.0,20.86707794,NaN,NaN
7184,-63.54636118,0.46194732,48.17849,47.71028,58.0,51.82497127,54.0,47.82497127,55.0,48.82497127
7185,-63.32374858,0.81809856,91.31039,91.12229,101.0,94.17311168,96.0,89.17311168,NaN,NaN
7186,-63.27068389,0.23959034,47.389,47.84672,57.0,50.34986533,68.0,61.34986533,NaN,NaN
7187,-63.40414471,0.8752378,1083.23,1083.306,1091.0,1084.31401689,1086.0,1079.31401689,1089.0,1082.31414474
7188,-63.06421926,0.46598943,33.43196,33.65308,40.0,32.8023993,32.0,24.8023993,NaN,NaN
7189,-63.09571412,0.94749736,112.4616,114.0591,124.0,116.65418798,119.0,111.65418798,NaN,NaN
7190,-63.65935722,0.10464893,34.17953,33.91603,48.0,42.29785787,29.0,23.29785787,42.0,36.29785787
7191,-63.27822541,0.17591788,51.8268,51.55759,62.0,55.4023587,67.0,60.4023587,NaN,NaN
7192,-63.27897036,0.46591637,36.21664,36.2603,46.0,39.24711733,50.0,43.24711733,NaN,NaN
7193,-63.13829371,0.49209648,53.91309,52.21284,55.0,47.9412237,55.0,47.9412237,NaN,NaN
7194,-63.5048832,0.71908837,61.65195,62.03163,67.0,60.60115901,62.0,55.60115901,71.0,64.60129664
7195,-63.40871524,0.52703797,39.26134,38.98668,50.0,43.49135722,27.0,20.49135722,NaN,NaN
7196,-63.58035668,0.4675836,51.71132,50.1248,67.0,60.89683511,48.0,41.89683511,60.0,53.89745114
7197,-63.98818588,0.07901626,42.69786,43.03249,48.0,43.11028033,56.0,51.11028033,46.0,41.11028033
