,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
139,NaN,-62.41419499,-0.41462927,-0.41461504,-0.41461504,-0.41461504,-0.41461504,-0.41461504,-0.41463875,-0.41463875
140,NaN,-62.58240295,-0.66235229,-0.66237934,-0.66237934,-0.66237934,-0.66237934,-0.66237934,-0.66233425,-0.66233425
141,40.20821143,-62.24416165,-0.35282357,-0.35279905,-0.35279905,-0.35279905,-0.35279905,-0.35279905,-0.35283992,-0.35283992
142,47.09922519,-62.5660414,-0.48192184,-0.48191882,-0.48191882,-0.48191882,-0.48191882,-0.48191882,-0.48192384,-0.48192384
143,49.48486047,-62.9914217,-0.95639415,-0.9564702,-0.9564702,-0.9564702,-0.9564702,-0.9564702,-0.95634344,-0.95634344
144,23.71239344,-62.35409934,-0.66686797,-0.66689577,-0.66689577,-0.66689577,-0.66689577,-0.66689577,-0.66684943,-0.66684943
145,46.10314197,-62.63066269,-0.27888501,-0.27884816,-0.27884816,-0.27884816,-0.27884816,-0.27884816,-0.27890958,-0.27890958
146,NaN,-62.83069139,-0.75920663,-0.75924983,-0.75924983,-0.75924983,-0.75924983,-0.75924983,-0.75917783,-0.75917783
147,43.25684779,-62.64193283,-0.44359991,-0.44359051,-0.44359051,-0.44359051,-0.44359051,-0.44359051,-0.44360618,-0.44360618
148,NaN,-62.74008125,-0.72483882,-0.72487629,-0.72487629,-0.72487629,-0.72487629,-0.72487629,-0.72481385,-0.72481385
149,37.74573862,-62.27379301,-0.99487564,-0.99495811,-0.99495811,-0.99495811,-0.99495811,-0.99495811,-0.99482066,-0.99482066
150,30.90436597,-62.60268415,-0.11489126,-0.11482709,-0.11482709,-0.11482709,-0.11482709,-0.11482709,-0.11493405,-0.11493405
151,50.77115704,-62.93326778,-0.1922941,-0.19224282,-0.19224282,-0.19224282,-0.19224282,-0.19224282,-0.19232828,-0.19232828
152,NaN,-62.45278889,-0.73871015,-0.73874993,-0.73874993,-0.73874993,-0.73874993,-0.73874993,-0.73868363,-0.73868363
153,43.65312389,-62.29582656,-0.78506348,-0.78511098,-0.78511098,-0.78511098,-0.78511098,-0.78511098,-0.78503181,-0.78503181
154,NaN,-62.43919225,-0.17020904,-0.17015408,-0.17015408,-0.17015408,-0.17015408,-0.17015408,-0.17024568,-0.17024568
155,41.76616382,-62.16183378,-0.04423355,-0.0441576,-0.0441576,-0.0441576,-0.0441576,-0.0441576,-0.04428419,-0.04428419
156,NaN,-62.32787555,-0.09210097,-0.09203299,-0.09203299,-0.09203299,-0.09203299,-0.09203299,-0.09214628,-0.09214628
157,45.61111659,-62.30067836,-0.70898097,-0.70901579,-0.70901579,-0.70901579,-0.70901579,-0.70901579,-0.70895775,-0.70895775
158,NaN,-62.36389051,-0.06160647,-0.06153341,-0.06153341,-0.06153341,-0.06153341,-0.06153341,-0.06165517,-0.06165517
159,48.49782299,-62.8523297,-0.09781486,-0.09774784,-0.09774784,-0.09774784,-0.09774784,-0.09774784,-0.09785955,-0.09785955
160,48.57200847,-62.01069508,-0.27572992,-0.27569254,-0.27569254,-0.27569254,-0.27569254,-0.27569254,-0.27575483,-0.27575483
161,NaN,-62.79523364,-0.64416864,-0.64419267,-0.64419267,-0.64419267,-0.64419267,-0.64419267,-0.64415262,-0.64415262
162,46.74179394,-62.05881819,-0.34222669,-0.34220039,-0.34220039,-0.34220039,-0.34220039,-0.34220039,-0.34224422,-0.34224422
163,44.27238247,-62.30534185,-0.23869532,-0.23865178,-0.23865178,-0.23865178,-0.23865178,-0.23865178,-0.23872435,-0.23872435
164,36.26134499,-62.78468985,-0.0106323,-0.01055075,-0.01055075,-0.01055075,-0.01055075,-0.01055075,-0.01068667,-0.01068667
165,46.56460813,-62.45209164,-0.15102137,-0.15096322,-0.15096322,-0.15096322,-0.15096322,-0.15096322,-0.15106015,-0.15106015
166,NaN,-62.79929625,-0.33582544,-0.33579808,-0.33579808,-0.33579808,-0.33579808,-0.33579808,-0.33584368,-0.33584368
167,41.62213086,-62.06720297,-0.15921573,-0.15915894,-0.15915894,-0.15915894,-0.15915894,-0.15915894,-0.15925359,-0.15925359
168,43.63833305,-62.35638195,-0.55765788,-0.55766749,-0.55766749,-0.55766749,-0.55766749,-0.55766749,-0.55765147,-0.55765147
169,21.97808165,-62.79381784,-0.92606944,-0.92614044,-0.92614044,-0.92614044,-0.92614044,-0.92614044,-0.9260221,-0.9260221
170,30.41989323,-62.39919548,-0.13177428,-0.13171291,-0.13171291,-0.13171291,-0.13171291,-0.13171291,-0.13181519,-0.13181519
171,43.54170675,-62.37034215,-0.38118971,-0.38116991,-0.38116991,-0.38116991,-0.38116991,-0.38116991,-0.38120291,-0.38120291
172,24.32161368,-62.93439454,-0.92304012,-0.92311062,-0.92311062,-0.92311062,-0.92311062,-0.92311062,-0.92299312,-0.92299312
