,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
247,-48.47727916,-27.65814738,1.62530448,255:221:221
248,-48.83413275,-28.59117931,0.47476205,255:245:245
249,-48.94048025,-27.26165794,4.69640104,155:155:255
250,-48.98994872,-27.10967671,5.87594941,255:131:131
251,-48.85222372,-27.66177159,8.33770661,255:79:79
252,-48.96525793,-27.79873557,2.2268867,207:207:255
253,-48.89130745,-27.52180612,14.0293795,255:0:0
254,-48.86018391,-27.83749836,5.57607514,255:138:138
255,-48.76652108,-27.47214827,2.26161635,207:207:255
256,-48.93496487,-28.27708087,6.94759458,107:107:255
257,-48.88484818,-27.04498693,18.04010151,255:0:0
258,-48.73939205,-27.06391721,16.71291139,0:0:255
259,-48.68768149,-28.09976671,2.00055041,255:213:213
260,-48.78182093,-27.35789889,12.75668616,0:0:255
261,-48.84591421,-27.3468334,10.28937963,255:38:38
262,-48.68123331,-27.73682414,4.73989405,255:155:155
263,-48.89929177,-27.22029996,5.25491109,255:144:144
264,-48.78353581,-27.95783726,5.83653386,131:131:255
265,-48.90099428,-27.86262832,3.53269984,180:180:255
266,-48.77452936,-27.39398457,6.38671832,255:120:120
267,-48.75866124,-27.52240253,0.77305169,238:238:255
268,-48.85162516,-28.02342434,5.79418368,132:132:255
269,-48.90410466,-28.45322372,1.07489505,255:233:233
270,-48.61367855,-27.88230943,1.2381979,228:228:255
271,-48.67428582,-27.67389419,2.9265813,255:194:194
272,-48.78817909,-28.41646944,17.21406582,0:0:255
273,-48.94679606,-28.34454102,8.35869255,255:79:79
274,-48.66390614,-27.52384776,4.96956853,149:149:255
275,-48.86988497,-28.12255222,0.81375205,255:238:238
276,-48.46877772,-27.64684329,4.46516152,160:160:255
277,-48.77159943,-27.95519548,15.54075708,0:0:255
278,-48.77890056,-28.21680326,6.17257188,255:125:125
279,-48.8687,-28.05992299,7.81202101,255:90:90
280,-48.76173486,-28.5037681,6.85577522,255:110:110
281,-48.70733616,-28.08731649,0.01103312,254:254:255
282,-48.59943564,-27.89785714,1.92039875,255:215:215
283,-48.83272245,-28.12618962,8.1413303,255:83:83
284,-48.84106138,-28.06294094,8.12245809,83:83:255
285,-48.70711305,-27.64698406,3.61559239,255:179:179
286,-48.90036241,-27.18217521,11.72953156,6:6:255
287,-48.91432615,-27.04309145,17.44513782,255:0:0
288,-48.99184891,-28.21279474,1.1835873,229:229:255
289,-48.8528271,-27.13497991,16.89449464,0:0:255
290,-48.6869975,-27.29749065,0.72846298,255:240:240
291,-48.62877324,-27.44171659,5.55505671,255:138:138
292,-48.49947644,-27.49862808,2.84401541,255:195:195
293,-48.9792329,-27.85244003,1.81101722,255:217:217
294,-48.99083382,-27.69937395,0.93397418,255:236:236
295,-48.96715076,-27.21652165,11.18346969,18:18:255
296,-48.57250695,-27.1925217,1.53892633,222:222:255
297,-48.83934688,-27.40918032,0.45466317,245:245:255
298,-48.90910247,-27.98999625,4.24905975,165:165:255
299,-48.62209406,-27.87384531,2.55738258,255:201:201
300,-48.68875184,-27.69088585,4.89668578,255:152:152
301,-48.87352874,-28.60572682,-9999,255:255:255
302,-48.49266234,-27.482539,2.83006877,255:196:196
303,-48.76064392,-27.97191093,0.92028815,255:236:236
304,-48.94467669,-27.6073395,14.44244541,0:0:255
305,-48.86439381,-27.56706203,2.83215923,255:196:196
306,-48.61351256,-27.37413322,3.4939528,255:182:182
307,-48.69646807,-27.61892914,21.40543124,255:0:0
308,-48.70029087,-27.84921429,4.90098261,255:152:152
309,-48.80194638,-27.84841422,19.50503823,0:0:255
310,-48.95955643,-27.78005053,2.99007185,191:191:255
311,-48.59626501,-27.57546358,2.66706353,255:199:199
312,-48.98290186,-28.28863144,4.52426812,255:160:160
313,-48.69543553,-27.58035409,5.34027696,255:142:142
314,-48.93625235,-28.31755654,1.20556148,229:229:255
315,-48.81724874,-27.14884773,1.28142106,255:228:228
316,-48.93508293,-28.64992717,3.8049667,255:175:175
317,-48.89432568,-27.26797522,11.56228127,10:10:255
318,-48.88858646,-27.17580165,1.17194696,230:230:255
319,-48.82536358,-27.59769785,0.19341082,255:251:251
320,-48.83474764,-27.87949216,10.82367819,255:26:26
321,-48.96094905,-28.06055038,7.55282109,95:95:255
322,-48.93670364,-27.04597053,0.60944303,255:243:243
323,-48.67988695,-27.8523475,3.64771145,177:177:255
324,-48.89919374,-28.1213425,12.67448245,255:0:0
325,-48.94666967,-28.07271295,16.23845849,0:0:255
326,-48.83760213,-27.9055225,2.88038329,194:194:255
327,-48.86845871,-27.46073655,11.68498325,7:7:255
328,-48.98432727,-28.41355637,2.50368943,255:203:203
329,-48.80787621,-27.63274541,1.03537495,233:233:255
330,-48.87703318,-28.21115343,12.11769372,255:0:0
331,-48.86312979,-28.19596556,5.51236896,255:139:139
332,-48.74903096,-27.48203292,5.08165021,147:147:255
333,-48.89780584,-27.60451417,4.52628196,255:160:160
334,-48.84779316,-27.50483122,6.73300648,255:113:113
335,-48.678554,-27.55255591,10.21824169,255:39:39
336,-48.87557992,-27.3598738,1.2553725,228:228:255
337,-48.480681,-27.65255542,1.54656322,255:223:223
338,-48.84392973,-27.71156986,3.13224406,188:188:255
