,tdx30_SerraMar,tdx30_slope_SerraMar
893,1299.074,27.74988
894,2102.553,35.53079
895,87.96326,12.83817
896,184.0543,12.3733
897,827.8206,46.29904
898,1071.906,30.38043
899,192.8645,23.72335
900,390.0573,4.862762
901,497.8752,15.1186
902,78.34957,29.42267
903,1638.819,48.13819
904,78.09689,23.312
905,1389.993,50.28939
906,642.5613,18.41576
907,732.2322,14.13746
908,722.8685,20.7583
909,1511.319,34.39705
910,604.4022,15.50451
911,1432.694,33.38443
912,352.5304,16.19988
913,985.4093,32.29531
914,1657.794,24.61204
915,577.0787,13.00319
916,676.7531,16.5654
917,1638.34,23.89359
918,526.61,5.76387
919,414.1672,5.95686
920,511.3747,5.634208
921,1377.952,38.90473
922,1366.829,27.86427
923,873.7477,27.86656
924,64.37668,33.98959
925,444.4378,5.817031
926,904.9514,25.88946
927,481.6167,25.49534
928,415.6327,20.50952
929,1106.539,2.728272
930,1196.911,17.58938
931,421.5531,29.54593
932,111.6653,25.39688
933,389.684,2.432311
934,1141.331,12.33286
935,452.5899,14.2818
936,108.745,25.13163
937,1271.051,17.38426
938,569.6922,7.082079
939,526.6786,29.87665
940,654.4737,20.82918
941,968.4111,12.68642
942,1427.466,28.82923
943,957.6744,17.78832
944,1039.351,28.44337
945,944.8463,21.42906
946,1186.2,18.98427
947,1478.07,17.18584
948,634.1191,25.6002
949,1224.23,26.27268
950,1432.852,19.31056
951,1291.295,26.61336
952,661.1884,20.09938
953,1107.281,12.1394
954,829.2297,28.38037
955,1355.737,19.93732
956,409.0825,22.69338
957,981.8049,31.29842
958,564.3288,13.40088
959,576.1706,11.62229
960,698.243,7.061807
961,567.5929,22.69815
962,566.0585,4.727857
963,1117.434,0.3518364
964,98.52956,18.02595
965,487.8816,27.61221
966,1581.068,14.49073
967,1089.254,11.62876
968,555.2616,22.58415
969,449.0055,22.581
970,1223.142,19.38403
971,1234.209,26.92626
972,994.3701,21.29431
973,609.8304,16.65484
974,1055.714,2.623675
975,1050.672,48.30141
976,943.9124,22.14287
977,557.4974,5.003633
978,621.2345,20.42793
979,385.2925,0.6308651
980,721.437,8.043869
981,1250.271,20.88464
982,1742.949,24.63028
983,528.7188,12.18354
984,407.8364,4.887352
985,687.4432,14.80277
986,1147.24,27.34979
987,632.7257,33.64848
988,704.9933,37.48879
989,638.0444,19.51108
990,1173.8,13.64127
991,531.8433,5.627156
992,1357.197,23.81404
993,1228.273,19.26262
994,384.5224,11.2456
995,1110.407,11.31958
