,aw3d30_wgs84_RioClaro,aw3d30_slope_RioClaro
754,742.21914276,9.635184
755,602.29268322,2.841409
756,636.61306291,2.534067
757,782.31943591,11.13523
758,609.82395897,6.22643
759,613.77897874,5.365302
760,510.4005756,8.915672
761,551.69896519,3.147482
762,654.12102293,6.874011
763,594.78637934,1.928958
764,506.32585556,4.241431
765,572.98024002,4.094907
766,680.77983251,4.867826
767,562.66358104,6.217836
768,483.24899039,9.474324
769,641.0737369,3.498036
770,627.39144093,3.434875
771,594.9210683,3.10437
772,518.71583302,2.731563
773,729.00796236,6.787158
774,483.50668403,8.142782
775,572.64704678,4.184196
776,604.90908458,7.03432
777,557.1930071,4.764229
778,655.33733232,3.309782
779,606.61916078,5.865087
780,592.93003195,6.219026
781,527.25508042,7.22262
782,638.31464115,2.358466
783,684.04779205,2.533355
784,818.69180492,30.96529
785,753.22627046,4.009855
786,571.8477539,12.52772
787,584.79054726,1.385643
788,678.2707741,2.003454
789,616.11116771,3.32145
790,480.41393064,6.814396
791,630.77851377,5.916459
792,639.96724684,7.474346
793,508.5413724,6.563592
794,572.11041848,5.482982
795,640.62137159,3.406264
796,762.67645553,0.3426649
797,578.06972932,1.025902
798,568.77820113,6.321441
799,522.73668466,7.303912
800,602.87972619,3.791503
801,586.61968646,4.785173
802,604.96513454,19.82689
803,505.71672057,4.547313
804,784.37757524,2.834034
805,641.52223028,2.351487
806,648.70291783,3.265041
807,622.02258081,5.781284
808,797.55404469,3.033477
809,599.86216903,2.771184
810,597.77161232,0.9321941
811,544.64133564,4.549
812,701.25142617,4.407174
813,798.55601121,5.522541
814,716.2152047,16.76926
815,615.13340154,1.433772
816,469.38957006,6.429136
817,625.03034374,7.424659
818,716.80523391,9.458395
819,645.97226156,5.543083
820,738.13749346,2.057764
821,693.57100495,11.8738
822,587.37794597,0.6845647
823,540.75932389,3.802582
824,531.11191705,12.60013
825,663.89663343,9.201106
826,906.8897681,5.017806
827,586.79862615,2.846504
828,622.22547646,4.021461
829,718.83050244,8.556015
830,599.87367195,2.871314
831,648.77154516,1.718299
832,519.80492062,4.479088
833,572.07809345,5.682976
834,751.64354086,3.067906
835,633.32111628,5.097574
836,504.40616306,6.052473
837,616.6124001,4.440363
838,592.96860258,2.733624
839,874.79301146,5.452979
840,755.53236525,6.786942
841,554.85422186,6.492055
842,626.36459423,4.421273
843,566.04861881,21.55307
844,606.44884882,8.470081
845,535.66891661,6.352221
846,576.08469516,1.272487
847,583.60371303,4.095599
848,776.53274694,2.225477
849,623.8267189,1.365419
850,752.35396093,3.62609
851,496.92693608,7.939234
852,658.30478319,3.272751
853,637.05500301,1.794607
854,608.91724289,3.461715
855,651.32580172,4.935407
856,682.9269728,14.59414
857,543.72530351,7.492631
858,603.68675147,4.615152
859,522.02343475,13.00356
860,700.054606,22.24892
861,689.64009967,15.10636
862,574.96381829,5.489342
863,569.54555561,3.824113
864,591.86710155,5.059048
865,578.62648976,10.15609
866,494.82329074,1.508717
867,769.53653759,5.055352
868,589.19955865,9.301004
869,743.7735232,5.593535
870,475.65683114,4.537535
871,504.5682895,2.395726
872,694.60919406,3.752505
873,605.54895642,7.692921
874,730.73813698,1.103042
875,596.81625906,0.7850013
876,566.90781082,0.7846879
877,529.4727607,13.53717
878,827.70447918,2.848832
