,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
475,-44.97349126,-23.07088838,2.13205226,255:189:189
476,-44.30325281,-22.30714611,2.36939047,181:181:255
477,-44.52780703,-22.4822903,3.01430984,255:162:162
478,-44.90116643,-23.09492594,2.3131722,255:183:183
479,-44.71666471,-22.12369658,8.45205982,255:0:0
480,-44.83616385,-22.22269483,15.53541643,0:0:255
481,-44.82726583,-22.14609604,3.98167023,255:131:131
482,-44.38467192,-22.62486552,2.20726214,186:186:255
483,-44.72924586,-22.49670345,4.37480259,255:119:119
484,-44.74379479,-22.73088232,2.75122929,255:170:170
485,-44.9394559,-22.88134671,6.75310062,44:44:255
486,-44.90186611,-22.03820278,2.6432617,172:172:255
487,-44.50370069,-22.70832436,9.24637723,0:0:255
488,-44.2982411,-22.01901822,1.65205843,255:204:204
489,-44.84371122,-22.93186664,1.15708984,218:218:255
490,-44.91731732,-22.89145414,0.20018646,255:249:249
491,-44.74822036,-22.75251425,4.18368346,255:125:125
492,-44.79606001,-22.38288482,0.78767785,255:231:231
493,-44.9757012,-23.17470445,2.26452411,184:184:255
