,aw3d30_wgs84_Iporanga,aw3d30_slope_Iporanga
716,789.92885491,13.22377
717,769.34759894,36.83395
718,938.20195444,10.58856
719,471.02767259,16.20713
720,430.13121739,27.13588
721,885.92626347,19.22124
722,235.05006344,24.12819
723,844.6233507,25.42446
724,646.99540986,23.62827
725,251.72843551,17.83239
726,733.33153962,9.616852
727,NaN,NaN
728,312.13444038,16.87012
729,824.1631279,15.48557
730,16.51607201,6.509852
731,922.88535125,15.43501
732,749.53758345,4.024026
733,106.34305406,17.50904
734,1050.97562333,13.43268
735,885.30385628,12.63031
736,715.07919357,25.67528
737,717.26712198,12.19701
738,856.45314018,16.72572
739,714.75154542,30.72867
740,828.37728974,6.877985
741,152.98501523,17.36872
742,753.65367634,27.8231
743,137.08753429,15.79859
744,369.37599497,27.92419
745,222.62285566,17.0435
746,727.08780492,10.51453
747,754.24466773,7.61657
748,920.91656629,12.73798
749,793.20226014,18.86515
750,477.59039799,27.29182
751,102.05429704,2.122583
752,NaN,NaN
753,141.74806252,8.592696
754,798.59650595,14.16873
755,565.12086056,NaN
756,111.76012045,13.95016
757,742.57082935,25.34541
758,NaN,NaN
759,751.97233283,5.48583
760,233.83738187,23.90713
761,90.74932718,8.724913
762,109.19165478,23.99214
763,147.95355795,21.5157
764,221.59167526,18.92475
765,930.91268349,22.71801
766,760.92877993,6.051716
767,163.92309134,12.61733
768,529.71353829,NaN
769,896.01933318,10.64304
770,NaN,NaN
771,772.36150232,18.47959
772,287.13483566,31.75982
773,757.6631307,31.15812
774,550.69570191,13.62237
775,120.0872199,25.4615
776,899.96436223,7.473178
777,867.18913502,37.20716
778,98.47239008,3.178322
779,82.02434881,10.09228
780,312.11968366,4.073253
781,540.32490133,28.87671
782,612.69266396,22.01281
783,277.12500359,26.93433
784,919.0903405,6.429153
785,727.54967522,6.004463
786,738.27164032,14.14871
787,199.96099472,25.38048
788,645.91450039,30.11474
789,425.17563312,16.89184
790,400.5881014,13.02643
791,1000.74431596,17.64623
792,719.37738457,26.9828
793,NaN,NaN
794,668.45519068,1.729702
795,751.22074485,6.658796
796,842.8902144,18.16895
797,858.37167417,17.87424
798,735.13375275,14.96784
799,787.97294685,4.306294
800,725.14259701,4.85729
801,622.08005697,10.52798
802,1007.05398041,9.835348
803,760.90071302,9.538121
804,849.56463974,31.47888
805,735.16902961,4.166071
806,70.68579158,2.97131
807,838.27745818,10.29628
808,874.91144953,8.401782
809,NaN,NaN
810,670.09347329,14.56683
811,760.74343007,22.58212
812,529.05306958,30.65745
813,809.61253533,14.21267
814,832.60608825,5.108984
815,697.74891635,20.22314
816,NaN,NaN
817,1030.21710458,20.24909
818,816.8617298,10.43446
819,992.9642668,12.2095
820,NaN,NaN
821,864.54541617,5.31671
822,136.18941458,11.07825
823,327.34355254,22.51313
824,819.42653041,14.79533
825,991.61312025,24.30619
826,906.27142441,2.755006
827,785.24853089,10.1939
828,242.93608299,16.81074
829,985.80352791,12.10798
830,781.41200858,28.06131
831,798.32346688,6.840901
832,846.06284938,28.59298
833,737.54762024,2.572285
834,931.00806191,7.535658
835,703.6779083,12.75996
836,359.70669336,13.33598
837,NaN,NaN
838,571.61162823,27.39629
839,946.23738661,6.519075
840,910.95740866,11.58911
841,102.98246148,22.82642
842,365.8312049,28.35011
843,948.31711076,17.9677
844,160.87257744,26.17719
845,712.3095966,4.968373
846,829.37605555,24.88751
847,646.07126777,6.825428
848,714.39715374,4.934073
849,935.43775494,20.75078
850,288.12471823,35.2281
851,749.99260108,19.69813
852,334.74513004,20.99087
853,602.85866421,15.87709
854,NaN,NaN
855,302.48599757,22.91231
856,853.0558973,13.25405
857,567.98868507,19.87154
858,747.06812612,1.376509
859,312.85787068,11.70825
860,NaN,NaN
861,994.06206842,14.61463
862,888.09948192,14.68245
863,549.79605604,24.27774
864,355.528954,24.42758
865,253.5729411,21.29578
866,871.30156145,31.29089
867,NaN,NaN
868,NaN,NaN
869,774.6062694,15.01911
870,855.11379513,22.7985
871,319.55751131,29.08879
872,865.62207871,18.67142
873,61.84933082,20.72691
874,1001.01396733,8.105673
875,873.27909714,8.579644
876,878.30749087,17.3627
877,157.4522716,33.54342
878,862.76676121,16.83767
879,876.54783019,11.66668
880,93.90229144,5.952706
881,881.54204014,14.77681
882,960.8860163,8.999416
883,663.29827189,2.891969
884,218.67860063,15.81008
885,435.16375939,11.54356
886,847.10653717,0.7420794
887,NaN,NaN
888,831.12042127,9.355127
889,429.73938621,35.14021
890,NaN,NaN
891,784.43793897,15.1447
892,872.73624854,15.80832
893,126.04335391,16.38815
894,516.51962635,34.91087
895,952.21052236,26.73385
896,335.76296988,18.30913
897,380.17476895,20.19882
898,914.87114976,13.26916
899,830.19559403,24.11211
900,745.35976838,8.622561
901,880.21496751,6.235272
902,222.10521759,30.47491
903,766.80109874,4.246367
904,670.60784655,14.61028
905,783.88561577,18.88213
906,974.17421474,24.51902
907,723.40383058,6.376502
908,NaN,NaN
909,995.12066937,13.44273
910,875.37985754,19.06511
911,914.93230305,25.31243
912,NaN,NaN
913,687.24481091,9.942392
914,417.8060457,27.22595
915,689.35523789,7.356883
916,944.93142402,8.43683
917,839.26035564,30.72455
918,877.92604668,17.12022
919,945.36106063,9.837177
920,777.97044576,0.506443
921,784.35930907,15.98276
922,831.48940667,4.936006
923,68.802609,7.186626
924,939.28653131,35.20284
925,789.62839741,8.775481
926,NaN,NaN
927,972.16522325,11.3195
928,865.34657632,7.50929
929,851.99036391,36.66856
930,790.0643061,30.74567
931,782.6069271,20.85183
932,NaN,NaN
933,886.35455041,13.84879
934,859.18467218,6.845158
935,881.09240901,36.65946
936,NaN,NaN
937,164.08353002,32.11623
938,NaN,NaN
939,919.5369581,15.89558
940,546.44497077,1.797751
941,43.31171741,1.727656
942,846.63234135,7.52616
943,NaN,NaN
944,646.08872856,7.010157
945,761.23019556,8.789863
946,NaN,NaN
947,957.1393652,23.15037
948,980.06669221,22.72932
949,274.01903376,5.345037
950,870.54365121,7.565922
951,341.05820902,28.20567
952,29.59886179,0.00099351
953,707.16607744,3.177947
954,823.26086159,29.16309
955,715.25770527,24.32598
956,890.2323098,4.460319
957,351.64558576,24.53555
958,846.02474416,26.34748
959,908.0098794,17.64222
960,736.98649695,32.3696
961,610.9074256,16.29689
962,784.0257558,30.71166
963,137.5141837,42.46545
964,274.13454423,16.74837
