,srtm30_wgs84_Pantanal,srtm30_slope_Pantanal
1013,135.04476375,4.399901
1014,115.96369528,1.24246
1015,132.11580864,0.3393711
1016,110.8995502,1.01176
1017,113.83155531,1.082078
1018,126.9715249,2.834924
1019,134.29559929,0.6733046
1020,117.07710076,7.810234
1021,128.59798696,2.43294
1022,114.68635582,3.374288
1023,143.87436293,1.863957
1024,140.94622881,1.348373
1025,106.24266144,1.538596
1026,105.00622366,0.7401832
1027,137.67235952,1.481992
1028,136.86893481,2.835628
1029,134.21248708,0.9754413
1030,123.15187557,1.375397
1031,115.54962608,0.3367405
1032,137.43111603,0.7721918
1033,120.63803116,1.723761
1034,127.98993235,2.218564
1035,112.12788048,0.7398878
1036,111.51306489,1.376693
1037,119.31277838,1.785512
1038,122.34799011,3.795721
1039,124.85828631,3.889161
1040,128.71505095,1.084645
1041,111.66951336,2.327167
1042,119.46315213,1.73604
1043,112.43463445,2.169696
1044,129.88287276,4.837319
1045,127.63460694,2.003976
1046,119.58870409,2.379141
1047,136.39534347,1.717895
1048,125.21973747,2.395136
1049,133.21508561,0.7660638
1050,149.03610955,1.238696
