,aster30_wgs84_Pantanal,aster30_slope_Pantanal
888,135.48005103,7.374214
889,128.96568408,2.204428
890,139.362048,4.380693
891,120.80323999,9.068954
892,120.59002312,3.791954
893,120.39692355,1.398313
894,139.0160008,3.697453
895,112.70883264,7.721994
896,109.25274379,2.774529
897,130.13887855,0.4649864
898,123.6542328,3.368057
899,149.62025613,7.220593
900,132.05953663,5.349566
901,117.51483748,1.687036
902,122.3984254,3.0344
903,132.81727917,6.381508
904,126.01840971,1.05223
905,124.00225181,3.929267
906,132.03253806,5.041825
907,129.60132368,1.189517
908,112.80496003,2.696373
909,104.46532909,1.84888
910,111.99337094,1.407238
911,116.03575103,5.039417
912,121.75269916,3.795582
913,129.16625512,3.793615
914,123.68486629,6.952672
915,125.39478744,1.470992
916,108.49171994,2.688016
917,108.9646256,3.373684
918,119.01746402,0.4668852
919,130.62902138,0.7383982
920,126.09271238,5.390432
921,130.80762888,1.081962
922,118.44694489,3.877818
923,142.2939663,3.068498
924,110.01560809,2.373142
925,118.66259746,1.703196
926,109.36272759,5.203961
927,121.45757787,2.004505
928,115.84173844,0.7698606
929,136.01155396,1.480091
930,109.46460397,3.079584
931,137.52737482,1.861896
932,117.83136473,0.7674816
933,114.10482964,2.219857
934,138.48189328,6.830567
935,116.58142581,1.376276
936,132.16733279,7.497278
937,122.26616331,4.477508
938,136.97287394,0.6742994
939,124.27728357,1.703644
940,114.38704258,1.241803
941,138.49075674,6.34771
942,131.44830009,10.00214
943,108.18968222,3.452848
944,130.64149274,0.3391891
945,139.88993399,8.581805
946,143.82212699,2.103602
947,104.80594838,3.497189
948,114.45280222,3.536713
949,123.33801808,0.7417772
950,106.90891232,0.7654002
951,133.22977341,3.070571
952,135.00049694,6.12423
953,127.12906663,3.995086
954,124.41576269,4.186193
955,125.43183579,8.705626
956,128.51994769,1.54063
957,113.39594586,2.218544
958,128.64891026,6.028799
959,107.25676404,2.010432
960,107.21796874,2.619112
961,127.08822043,3.077212
962,149.23361014,8.829141
963,114.48984128,4.121805
964,124.88207699,1.72666
965,126.16368213,10.93697
966,121.5219716,7.334651
967,119.98350513,6.748915
968,110.73558151,5.534758
969,114.65723826,0.7387365
970,125.89909063,1.64955
971,125.6643113,3.368085
972,116.09460348,0.7681087
973,137.27959401,7.328616
974,127.92888258,0.9763033
975,137.45898395,5.849586
976,107.55683615,2.960255
977,113.44813155,4.399146
978,125.4340842,1.188488
979,127.07429147,2.161593
980,131.9211397,2.06152
981,133.99949184,2.95981
982,122.10125923,2.573189
983,138.80766105,11.81339
984,113.40381201,2.959586
985,132.24039961,2.70215
986,123.50639703,1.646984
987,123.00255258,6.489453
988,130.61936523,6.802237
989,115.61734787,6.927668
990,135.00022905,6.793537
991,105.87074348,1.350736
992,115.72016866,10.18528
993,126.70848612,1.404726
994,113.84333983,12.14025
995,124.31449392,1.350174
996,115.57660047,1.054
997,114.84200285,2.203776
998,124.8427881,4.142608
999,133.82356978,5.273001
1000,122.79115252,3.846893
1001,133.71589425,6.763752
1002,130.5654223,5.458041
1003,126.7024425,6.337739
1004,115.70500444,0.7388996
1005,125.06031181,5.972461
1006,121.75334408,3.754684
1007,130.66304436,0.738621
1008,137.16458916,1.011754
1009,134.52812698,1.727232
1010,123.23482449,14.36434
1011,129.39789701,3.29319
1012,140.69667988,4.733235
1013,136.04476375,2.023531
1014,118.96369528,1.051493
1015,131.11580864,3.110826
1016,110.8995502,3.147343
1017,116.83155531,1.404083
1018,125.9715249,1.686742
1019,132.29559929,5.574162
1020,123.07710076,8.365912
1021,137.59798696,5.185274
1022,115.68635582,1.949755
1023,141.87436293,3.792403
1024,143.94622881,4.066401
1025,112.24266144,5.049479
1026,112.00622366,6.853064
1027,134.67235952,0.7725824
1028,136.86893481,5.60453
1029,136.21248708,8.522724
1030,122.15187557,5.657355
1031,117.54962608,3.031857
1032,134.43111603,5.730311
1033,116.63803116,0.766061
1034,124.98993235,1.086228
1035,113.12788048,1.843703
1036,113.51306489,3.04039
1037,116.31277838,3.403642
1038,124.34799011,11.96641
1039,124.85828631,1.014909
1040,128.71505095,11.67126
1041,112.66951336,3.537488
1042,126.46315213,2.360343
1043,111.43463445,2.037523
1044,130.88287276,2.699639
1045,126.63460694,1.788015
1046,120.58870409,4.628588
1047,140.39534347,3.131809
1048,131.21973747,6.868818
1049,136.21508561,2.327166
1050,150.03610955,6.11211
1051,125.7059235,1.705476
1052,142.74636169,4.003873
1053,117.94658096,5.38053
1054,132.60374046,3.072185
1055,128.38217699,4.624561
1056,113.76951817,1.703531
1057,111.22482143,1.404101
1058,125.08514594,9.16798
1059,108.34767432,4.132998
