,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
694,157.6048,39.84965
695,771.1453,19.74988
696,2.558392,0.4177837
697,529.8058,8.611923
698,1.53675,NaN
699,3.131895,0.1801526
700,753.8688,21.6903
701,647.5043,17.41374
702,61.38802,15.09048
703,185.2847,19.59004
704,175.8603,1.832604
705,270.8766,31.80485
706,78.62803,3.981982
707,323.1353,11.64193
708,2.207195,0.1274572
709,782.8102,4.876734
710,183.7375,21.67206
711,15.35708,12.44534
712,196.3327,23.18414
713,348.5705,8.992466
714,307.9919,29.7526
715,71.4928,18.87129
716,628.0594,7.504222
717,565.515,26.56232
718,2.364813,1.619029
719,217.9608,15.99836
720,26.37365,7.447389
721,16.64778,5.778338
722,515.1734,7.959265
723,18.58773,2.519325
724,2.282295,0.2779695
725,122.5786,7.664997
726,14.67733,2.413983
727,432.6786,18.90319
728,24.02928,0.7932435
729,83.2503,NaN
730,381.7231,17.27029
731,583.1581,28.1154
732,10.03337,2.760111
733,514.7277,5.90645
734,17.44349,6.785707
735,4.564189,0.1158116
736,44.36067,8.152262
737,609.4634,23.31392
738,128.2273,17.26924
739,915.7855,10.64931
740,832.4695,26.0677
741,687.3243,22.38832
742,7.531387,1.775985
743,804.9426,21.73351
744,694.0378,12.86354
745,637.0364,36.7433
746,59.27744,17.28275
747,53.26734,2.613333
748,792.2464,1.017146
749,181.1927,19.53017
750,133.8607,30.20245
751,395.607,14.82863
752,327.0071,20.76329
753,11.61044,1.522467
754,66.24951,13.74081
755,2.679204,3.043995
756,435.4301,28.10124
757,65.69508,19.49767
758,16.58862,4.380659
759,811.9605,20.77473
760,399.3694,27.99659
761,5.212725,3.910396
762,2.358762,1.225094
763,3.091256,0.6330985
764,1.661397,0.441038
765,17.42147,1.90806
766,318.2305,7.180625
767,464.3374,20.42227
768,395.6539,12.98613
769,1107.826,7.13323
770,720.8188,21.173
771,805.1341,37.07328
772,291.8734,7.2669
773,68.21747,8.349998
774,1.916616,0.3386448
775,23.38069,0.5029843
776,209.0758,23.69622
777,612.6871,21.77758
778,440.1757,22.77032
779,12.04662,0.7149411
780,582.8257,13.92197
781,17.07695,4.400725
782,952.6768,21.04045
783,59.12548,23.97583
784,381.0744,26.27533
785,20.4056,0.4704838
786,40.24195,12.06774
787,169.4912,30.03764
788,8.62869,1.0903
789,551.3426,9.83472
790,159.608,24.09615
791,687.0856,0.6463059
792,11.62313,1.187956
793,557.0618,15.62505
794,3.448177,0.4357006
795,9.806411,0.373498
796,3.480588,3.584604
797,62.51395,22.50175
798,148.9847,21.1796
799,766.3119,21.68511
800,174.986,24.18024
801,457.146,13.58878
802,627.642,17.46351
803,251.9176,19.25873
804,260.8033,20.99086
805,873.4161,17.29021
806,60.5489,24.56542
807,29.57753,18.77191
808,194.3147,22.19537
809,31.76002,1.285946
810,182.4257,34.60933
811,118.9175,24.05536
812,98.74055,23.75195
813,279.4681,9.762843
814,424.5325,16.25185
815,683.1367,32.31371
816,791.0387,22.28482
817,198.3771,33.2565
818,367.795,16.56384
819,4.050788,0.2690434
820,10.51438,1.436334
821,2.938394,0.2656904
822,177.0547,21.39062
823,461.9318,32.75331
824,160.9783,25.54048
825,303.4308,21.79899
826,186.8299,16.09754
827,19.97485,9.659636
828,23.80475,6.692924
829,88.66182,26.37358
830,151.1398,4.785469
831,4.425288,0.3732485
832,38.87817,5.154583
833,4.842175,3.128113
834,422.7622,23.80345
835,527.8492,11.73643
836,101.7827,10.37033
837,116.4036,14.69664
838,30.00157,6.747324
839,460.2974,18.80037
840,127.5582,23.53737
841,62.92477,21.7404
