,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
219,-62.29025964,-0.227911,2.00047009,255:153:153
220,-62.40155837,-0.25890536,-9999,255:255:255
221,-62.66730043,-0.360412,-9999,255:255:255
222,-62.30594959,-0.05858278,-9999,255:255:255
223,-62.21330113,-0.06982169,1.00046522,255:204:204
224,-62.26696629,-0.68715227,1.0,204:204:255
225,-62.80061506,-0.79181703,-9999,255:255:255
226,-62.72396697,-0.45813153,-9999,255:255:255
227,-62.67308089,-0.66404538,1.0,255:204:204
228,-62.39929469,-0.64178966,1.0,255:204:204
229,-62.06084855,-0.1550264,0.99978447,255:205:205
230,-62.54868141,-0.53362877,-9999,255:255:255
231,-62.8310142,-0.7271464,-9999,255:255:255
232,-62.78845952,-0.71275543,-9999,255:255:255
233,-62.97382078,-0.77626403,3.99931835,51:51:255
234,-62.72171983,-0.52135181,-9999,255:255:255
235,-62.61383053,-0.97647035,-9999,255:255:255
236,-62.05023024,-0.77598437,0.0,255:255:255
237,-62.88600721,-0.76103498,-9999,255:255:255
238,-62.19534284,-0.97645347,4.0,51:51:255
239,-62.87885017,-0.50805028,3.00067985,255:102:102
240,-62.78473116,-0.14898543,2.99977447,255:103:103
241,-62.96232499,-0.94011541,2.00068259,255:153:153
242,-62.51945322,-0.70940492,-9999,255:255:255
243,-62.5143949,-0.7267491,-9999,255:255:255
244,-62.19410218,-0.00188421,3.99977861,255:52:52
245,-62.71308435,-0.6542041,-9999,255:255:255
246,-62.61451844,-0.13398124,0.99977714,255:205:205
247,-62.37281528,-0.66306544,0.99979931,255:205:205
248,-62.7110489,-0.42657683,1.00068121,255:204:204
249,-62.49770727,-0.71837451,-9999,255:255:255
250,-62.09476371,-0.67359748,5.0,0:0:255
251,-62.79305726,-0.01372688,2.99976805,255:103:103
252,-62.70253066,-0.37901567,-9999,255:255:255
253,-62.47579905,-0.13077497,-9999,255:255:255
254,-62.38867144,-0.52212189,-9999,255:255:255
255,-62.03536804,-0.48472238,4.00020689,50:50:255
256,-62.64189515,-0.81285404,-9999,255:255:255
257,-62.4304774,-0.7665194,0.99931487,204:204:255
258,-62.04571809,-0.79378396,4.0,51:51:255
259,-62.8720708,-0.70965083,-9999,255:255:255
260,-62.03231318,-0.92667687,3.00019734,101:101:255
261,-62.22861958,-0.43032097,0.99979187,255:205:205
262,-62.21177392,-0.45473181,0.000207369999998,254:254:255
263,-62.67660854,-0.14267787,2.00045365,255:153:153
264,-62.4677193,-0.8399241,-9999,255:255:255
265,-62.65885785,-0.37370205,-9999,255:255:255
266,-62.72744235,-0.38957449,-9999,255:255:255
267,-62.8714322,-0.87911578,4.00068295,255:51:51
268,-62.54731656,-0.3105832,-9999,255:255:255
269,-62.29858803,-0.74874461,2.0006856,255:153:153
270,-62.56495691,-0.70639367,-9999,255:255:255
271,-62.44882818,-0.09841257,-9999,255:255:255
272,-62.53812883,-0.00512339,1.99977327,255:154:154
273,-62.50068259,-0.14513072,-9999,255:255:255
274,-62.01559231,-0.06287399,3.00021783,101:101:255
275,-62.30435753,-0.03052484,-9999,255:255:255
276,-62.18852592,-0.35042726,1.00021043,203:203:255
277,-62.70061928,-0.40609302,-9999,255:255:255
278,-62.80076512,-0.24715564,5.00067686,255:0:0
279,-62.32900395,-0.5592459,3.00020417,101:101:255
280,-62.5249261,-0.23923231,-9999,255:255:255
281,-62.96382576,-0.54790429,4.00067917,255:51:51
282,-62.97035698,-0.76565553,3.9993184,51:51:255
283,-62.0240638,-0.35268315,4.0,51:51:255
284,-62.76419261,-0.7535349,-9999,255:255:255
285,-62.00655166,-0.91336309,2.0,153:153:255
286,-62.41992125,-0.27545688,-9999,255:255:255
