,Araca_tdx12,Araca_tdx30,Araca_aster30,Araca_aw3d30,Barcelos_tdx12,Barcelos_tdx30,Barcelos_aster30,Barcelos_aw3d30,Pantanal_tdx12,Pantanal_tdx30,Pantanal_aster30,Pantanal_aw3d30,Iporanga_tdx12,Iporanga_tdx30,Iporanga_aster30,Iporanga_aw3d30,RioClaro_tdx12,RioClaro_tdx30,RioClaro_aster30,RioClaro_aw3d30,SantaCatarina_tdx12,SantaCatarina_tdx30,SantaCatarina_aster30,SantaCatarina_aw3d30,SerraMar_tdx12,SerraMar_tdx30,SerraMar_aster30,SerraMar_aw3d30
63,-3.76368202,-1.01547202,10.0,NaN,3.10716344,3.45228344,4.0,NaN,3.18931752,3.22291752,-10.0,0.99951709,1.32622719,1.76902719,5.0,-1.00038207,6.44745977,7.50335977,4.0,-0.000418819999936,9.85818347,-1.38941653,-12.0,4.0,-5.79595703,-6.93395703,11.0,-15.0
64,-0.71767217,-2.31053217,8.0,NaN,-0.51497416,0.18863584,-9.0,NaN,1.62004739,0.94024739,-1.0,0.0,6.20137408,3.65027408,-4.0,-2.0,4.22026638,5.63336638,-3.0,-1.0,-12.52883134,-2.50443134,16.0,-9.0,12.90700269,5.37100269,13.0,8.0
65,1.47915323,1.84352323,-2.0,3.0,-0.66261213,-0.79245213,-21.0,-1.99931886,1.23618741,0.41888741,4.0,1.00094345,6.24804456,3.84354456,2.0,4.00022345,4.71035404,2.04245404,-3.0,-0.000181069999996,19.48722051,6.32892051,10.0,7.0,0.58735303,5.70415303,11.0,-2.0
66,2.57327056,3.70137056,5.0,-1.0,2.22936153,2.74662153,-3.0,0.000683370000001,5.49574588,5.28054588,-3.0,3.00099084,-8.79493527,-2.13233527,19.0,-7.99972905,7.25845388,6.74315388,-1.0,0.99983608,2.38861263,4.49801263,4.0,-1.0,-8.03253584,-8.76203584,-17.0,-6.0
67,-1.58756351,-7.44026351,0.0,NaN,0.40564164,1.82245164,0.0,0.99978116,6.20964151,6.03954151,-3.0,-1.0,1.58628102,2.07438102,5.0,0.0,4.74311774,3.98931774,-5.0,0.0,3.50834496,0.44634496,9.0,5.0,-1.98553861,2.74616139,16.0,-6.0
68,3.17872045,2.80918045,-2.0,-3.00072091,-1.701548,1.287702,-8.0,-3.00020016,5.03990415,4.80100415,18.0,-1.00045218,-0.14343072,-5.27613072,2.0,NaN,10.66106575,2.23626575,5.0,3.99965779,5.06243616,0.90067616,-1.0,4.0,11.34216178,1.70866178,9.0,4.0
69,-1.80497746,5.57062254,-1.0,NaN,1.72240918,1.50588918,7.0,1.99978179,3.72228243,4.09788243,9.0,0.0,15.97505175,14.03655175,5.0,-15.0,0.56338918,1.73138918,-10.0,-1.0,4.4167191,2.9926821,-1.0,0.0,14.1543152,9.6008152,11.0,13.0
70,1.65385905,1.62061905,12.0,NaN,6.27656021,5.17247021,9.0,7.00068515,4.1045605,3.9741605,-3.0,1.00103728,5.96467294,4.26265294,16.0,8.00031431,3.38266732,4.01026732,1.0,-2.00014703,-12.83575401,0.79444599,15.0,-12.0,11.79541303,5.76641303,3.0,10.0
71,0.55919656,1.37437656,23.0,NaN,1.32302366,1.17258366,2.0,0.000486279999997,3.77544716,4.05324716,-5.0,2.00061261,3.58801514,0.81801514,9.0,-5.99993619,2.58908789,-0.61731211,-30.0,-4.00049739,-0.91326008,-1.41903008,0.0,5.0,7.2270731,4.2744731,-10.0,10.0
72,7.59456639,5.31852639,13.0,5.99936235,-1.02558986,-0.46595986,-5.0,NaN,5.35468368,4.87928368,11.0,0.000525999999994,-1.50842683,-1.71242683,9.0,-1.99948239,5.49717269,4.02957269,-4.0,2.00049291,10.30018149,2.66756149,7.0,5.0,18.35206187,-1.07953813,5.0,7.0
73,2.76739214,2.01293214,-6.0,NaN,-2.34699172,0.67180828,7.0,1.00068511,4.90182778,4.84532778,6.0,-2.99840897,3.59090003,2.77780003,-13.0,6.00070595,3.61391508,4.15291508,4.0,1.00030582,5.47268217,5.70527117,-1.0,1.0,17.95736767,1.51336767,28.0,5.0
74,-3.17860354,-2.82969354,-1.0,-5.0,0.10908713,0.41696713,9.0,NaN,5.2598814,5.0381814,8.0,3.00096669,1.14418957,1.20338957,-6.0,NaN,5.27112726,4.65662726,-1.0,-7.00016406,8.85013835,-2.08246165,4.0,NaN,3.64402257,-2.54197743,0.0,-4.0
75,-0.38596314,-0.74653314,2.0,-2.0,-1.45613175,-0.37298175,-15.0,1.00068044,0.53592035,1.26282035,-4.0,-5.99907747,2.93328134,0.91158134,2.0,-12.99979106,-3.09356936,-2.21886936,-5.0,-9.00018538,2.86772466,-3.82107534,9.0,3.0,-5.5852073,-4.2192073,1.0,-5.0
76,5.72630187,4.32162187,5.0,-1.00062153,1.08034908,1.77275908,-3.0,0.0,1.81610625,3.03680625,3.0,1.00052012,-10.95408313,3.54621687,16.0,-9.99953514,3.42078468,5.96138468,-2.0,-3.99953002,-0.84503659,0.17992341,0.0,-1.0,-13.52309525,-9.58509525,-12.0,-3.0
77,0.37011234,2.45771234,2.0,0.99931743,-1.53044928,-2.87158928,3.0,-3.00021481,7.07576539,7.79276539,-1.0,3.0,-0.46374745,2.91525255,-7.0,-5.0,13.94911773,13.91961773,10.0,4.0,3.28210358,2.99490358,0.0,7.0,-2.96481592,-10.10571592,1.0,-8.0
78,2.52072095,2.11906095,5.0,2.0,-0.0560739,-0.2536439,5.0,NaN,0.05987097,1.00077097,0.0,-1.99890249,7.82721308,6.09096308,5.0,7.00038483,7.57968901,7.48668901,4.0,1.99988552,-2.67507477,0.89362523,-9.0,-5.0,5.80658928,4.08758928,1.0,9.0
79,-4.0041814,0.7233186,10.0,0.0,0.73784889,2.94337889,-19.0,-3.99931827,3.82112985,4.22662985,4.0,0.000878180000001,3.97858653,-0.63201347,-13.0,2.00022659,4.21778281,4.99168281,-1.0,-1.00016989,0.49069391,-1.43831209,-12.0,-2.0,0.29228375,0.30358375,1.0,-14.0
80,-1.73731572,-3.84912572,0.0,-2.0,0.84675678,-2.10264322,-7.0,0.000682640000001,2.95498178,1.48368178,-2.0,-0.99912816,15.20926565,11.05986565,15.0,15.00026289,3.94466947,3.64576947,0.0,0.99985464,-7.70848568,-5.91068568,4.0,-12.0,5.59344082,5.81954082,9.0,3.0
