,tdx30_Iporanga,tdx30_slope_Iporanga
1117,713.9886,17.59772
1118,217.4243,20.95998
1119,592.5554,4.986444
1120,201.0658,21.60248
1121,502.5173,13.44721
1122,761.0798,4.508168
1123,773.9885,19.42361
1124,708.2397,10.41756
1125,64.50248,15.91071
1126,60.3056,15.61833
1127,868.0728,8.821049
1128,987.3055,9.878555
1129,735.9954,12.29583
1130,854.9453,26.04665
1131,784.9672,19.22199
1132,248.1676,25.37622
1133,93.46003,30.21055
1134,775.2293,28.29126
1135,940.8488,20.42395
1136,436.5821,39.37431
1137,691.0075,36.05688
1138,100.372,26.66239
1139,729.8143,2.825382
1140,821.9822,18.52442
1141,828.0051,8.214701
1142,655.7654,30.20167
1143,822.6402,3.703599
1144,577.6019,37.96042
1145,848.1603,12.27452
1146,936.1763,4.828429
1147,381.9159,34.14642
1148,703.8795,12.43659
1149,924.5723,4.013434
1150,976.3676,7.89141
1151,189.2747,20.70284
