,srtm30_wgs84_Barcelos,srtm30_slope_Barcelos
294,38.15418358,2.944858
295,35.9118969,4.255676
296,15.70843275,3.26053
297,40.69690146,1.99743
298,40.20763171,1.351446
299,31.56096965,1.388168
300,44.43325097,1.677989
301,40.88344251,0.7339684
302,12.2737952,0.00131243
303,44.51964249,1.774257
304,37.17863186,3.479249
305,26.84552795,3.996566
306,17.2788107,0.00131635
307,30.88591481,1.357966
308,43.87827803,3.030539
309,35.72315376,1.6479
310,22.86836459,1.672421
311,31.45781844,3.658589
312,42.68308638,2.833246
313,28.94132588,7.517009
314,45.23427778,3.106764
315,32.54964135,3.955834
316,44.21442355,2.812865
317,22.1128872,0.6566851
318,45.06998526,1.911433
319,25.48300166,2.325345
320,46.59071949,1.464554
321,23.76720945,12.7048
322,18.78267827,1.970616
323,29.85853472,2.072202
324,24.03799448,4.590506
325,33.29383509,0.9321991
326,24.5622551,2.712144
327,42.84618366,0.9330154
328,34.53997744,5.356517
329,45.93892295,2.928118
330,44.80151012,0.4619691
331,45.99843099,1.999503
332,43.51594094,2.072576
333,27.81886853,1.315578
334,40.10680884,1.31503
335,34.7640569,5.77668
336,51.22058069,1.9214
337,11.65929098,0.9870858
338,48.16950409,2.298776
339,41.14956957,1.351412
340,42.0005172,0.3274727
341,25.91351773,2.649071
342,43.28441171,1.648672
343,38.85369942,0.4619755
344,43.4811001,1.035918
345,51.25771681,5.173269
346,48.86396805,3.538402
347,34.31247606,5.850418
348,38.8457774,5.650179
349,44.58859433,2.20876
350,37.96975622,1.351818
351,30.71032007,4.053577
352,41.12720121,2.209526
353,26.92943911,3.271325
354,25.25399244,3.107498
355,47.26685883,6.166133
356,42.00008194,2.798355
357,45.57431763,2.928069
358,43.89236289,3.831918
359,20.51293392,1.671977
360,47.20412881,3.030593
361,21.58216658,1.99497
362,29.9152943,0.736895
363,31.99706252,2.954274
364,31.63006308,4.854496
365,20.54904951,2.000904
366,40.3111787,3.344676
367,50.2279732,1.86514
368,24.64696784,2.375859
369,19.23211528,2.81115
370,20.18995029,0.9865084
371,25.59211288,2.095577
372,37.75746774,1.920648
373,30.37902953,4.707851
374,26.37617519,1.041482
375,38.65057324,2.395826
376,47.99818749,4.279959
377,37.20697819,0.4645187
378,17.31731166,0.00131584
379,36.0591614,2.834043
380,48.72027364,3.622404
381,23.15246218,1.188383
382,41.86460576,0.00133356
383,31.85534357,3.296517
384,36.82902432,2.5739
385,26.73946383,6.531839
386,28.05121459,1.356059
387,48.07115125,4.053285
388,32.70249825,1.040423
389,35.35042495,2.574092
390,46.01113861,3.476643
391,20.04357054,1.911504
392,38.45175882,5.907527
393,46.48048293,1.473427
394,44.3484129,1.764352
395,35.85500357,2.79547
396,43.54017392,2.798397
397,37.92386804,7.040377
398,24.25910871,0.9276904
399,28.00018142,2.81287
400,25.97030818,2.654809
401,42.88668087,2.313634
402,53.72969151,3.730964
403,48.13500368,2.31621
404,11.18053204,0.00131228
405,30.4171975,1.642238
406,38.11368526,2.325422
407,45.82359185,4.411723
408,31.30656392,1.647878
409,56.60603266,3.037765
410,49.9568343,0.00132585
411,47.12543229,3.974756
412,38.91453779,1.766533
413,33.76612922,0.7318341
414,34.88888089,0.00132476
415,43.99225018,10.13323
416,31.12396847,2.796252
417,45.47449995,5.730183
418,36.89375299,0.4659803
419,42.80696171,1.648688
