,tdx30_Pantanal,tdx30_slope_Pantanal
570,109.3787,0.3569921
571,133.1433,0.8038078
572,136.6426,5.748323
573,133.164,2.251821
574,123.4399,2.064853
575,105.6529,0.792252
576,128.7148,0.1372413
577,127.4241,4.591541
578,106.3196,0.1564972
579,121.0311,3.704155
580,103.627,0.21246
581,112.3982,0.4628392
582,118.467,1.004305
583,124.7825,0.276437
584,116.1931,0.5652482
585,121.7248,4.386613
586,108.186,0.3011182
587,111.9046,1.985628
588,120.5844,0.7167957
589,129.0091,3.711181
590,108.9761,0.2641062
591,113.4865,2.021131
592,122.2967,3.579054
593,114.6586,3.217793
594,104.7916,3.185528
595,116.1082,3.42345
596,109.5415,1.854571
597,111.993,2.724787
598,119.6505,0.07827213
599,116.2569,3.510634
600,112.9579,2.910397
601,136.2314,1.860881
602,138.3642,0.9787705
603,120.788,1.204258
604,122.5199,0.8250282
605,112.8083,0.2960151
606,131.7227,0.3502289
607,128.9322,4.540916
608,117.269,0.7765738
609,107.9648,2.226429
610,111.2324,0.9163023
611,147.5413,0.6269771
612,114.6527,3.863147
613,132.9287,0.1352778
614,124.8189,3.790936
615,113.3669,0.5876082
616,112.6816,0.8097726
617,132.088,4.963476
618,118.7253,1.520198
619,129.0956,1.978728
620,109.4533,0.6444002
621,128.8738,0.1432225
622,110.5455,5.218339
623,129.8502,3.449979
624,116.0464,0.2578785
625,116.668,0.5957167
626,110.2947,1.499422
627,112.4166,0.3077818
628,109.4193,0.2540205
629,126.3428,2.86151
630,114.317,0.2529886
631,127.1045,0.9324988
632,115.9187,0.7886746
633,116.2624,1.459419
634,121.6812,0.1690333
635,134.6998,0.2019946
636,116.6584,1.290318
637,117.8991,1.522673
638,124.6247,0.06587511
639,112.9811,0.3897356
640,111.0842,0.545314
641,117.1506,0.3172017
642,115.1711,2.774471
643,107.7519,1.749572
644,131.0655,0.9956879
645,115.9198,0.7827345
646,118.8249,3.481053
647,123.9282,1.565763
648,117.6712,8.526199
649,119.2917,0.5423319
650,111.425,0.7256074
651,117.7535,1.032728
652,129.4157,0.4722995
653,113.2841,1.119586
654,127.4033,2.025187
655,121.2045,4.463979
656,108.6577,0.2790347
657,113.2843,0.6372957
658,136.3698,0.2146739
659,134.8868,0.5704547
660,132.8831,0.2604175
661,115.5469,5.523343
662,103.5017,1.104906
663,122.0719,4.248367
664,112.8011,0.9723875
665,115.4191,3.285377
666,115.7606,0.2547985
667,118.6497,2.861131
668,134.7788,3.465604
669,120.8778,0.7539545
670,130.7411,0.9439252
671,123.2103,0.2738018
672,125.3831,0.04733311
673,136.3392,0.3188684
674,130.7368,0.3509554
675,118.4069,3.374188
676,124.0295,1.93992
677,117.3167,0.2478142
678,110.4383,1.082285
679,137.7451,1.26607
680,115.7687,3.062422
681,111.4097,0.384126
682,124.1446,0.5498705
683,114.2102,2.8314
684,116.5301,0.9732968
685,115.993,2.030235
686,123.8094,0.6693309
687,116.9886,5.25018
688,114.4726,0.337032
689,131.0877,3.325687
690,122.1783,1.402657
691,130.379,0.4693282
692,137.478,0.4159316
693,124.6186,0.1632105
694,124.2118,0.252145
695,129.6473,0.3649288
696,122.4363,0.7657578
697,120.3719,1.326226
698,119.7309,3.160919
699,135.6022,0.5291796
700,132.0399,0.4431858
701,135.1993,0.4796872
702,118.2898,1.251138
703,121.7991,0.3416036
704,125.4133,8.458955
705,131.1998,1.64642
706,135.2494,2.212105
707,112.6911,0.2243439
708,125.8246,1.722884
709,120.5532,4.272872
710,116.0773,0.9923333
711,127.9131,2.225711
712,129.6824,2.333516
713,122.9904,0.1061364
714,106.6129,0.1127934
715,124.6629,1.364228
716,108.2107,0.4190364
717,117.3402,0.3160788
718,114.6031,7.532423
719,107.4826,4.630124
720,126.2334,3.683512
721,111.9823,0.1141533
722,135.0534,2.198979
723,120.5733,3.452042
724,133.3965,0.1570542
725,110.3132,1.033166
726,128.9119,1.112991
727,111.2685,0.278677
728,120.4018,0.6000755
729,139.286,1.104804
730,137.0489,0.442036
731,117.2309,0.3268825
732,127.1767,3.08108
733,147.2875,3.791633
734,110.8636,0.2148872
735,113.6657,2.982481
736,133.5856,0.05273496
737,121.4863,1.014446
738,131.0053,0.2819645
739,109.4183,0.7032369
740,117.8247,1.196341
741,129.3354,0.7438746
742,113.5908,0.6328211
743,122.9317,1.288115
744,117.5522,3.055049
745,136.0012,0.548669
746,132.7081,0.3026679
747,130.2688,3.860572
748,117.88,0.2713156
749,120.2192,2.545812
750,113.393,0.36277
751,130.3745,3.364808
752,137.2514,0.4198605
753,128.1016,0.2608034
754,114.9088,1.191171
755,120.418,1.709235
756,128.7217,0.3939784
757,111.2739,1.12799
758,132.7353,3.75836
759,135.4165,0.236351
760,112.974,1.27683
761,130.6147,1.012443
762,138.5408,0.3638626
763,127.2648,0.4232531
764,110.2332,0.5714831
765,125.6479,3.060791
766,137.9647,2.633241
767,129.8885,1.081928
768,118.2331,3.861171
769,118.5626,0.8355858
770,116.8607,0.6939976
771,127.6769,0.9835197
772,122.2089,1.182825
773,125.9095,0.1428597
774,114.041,2.034288
775,123.6265,2.85642
776,117.6992,2.063766
777,119.5943,1.77432
778,133.2126,0.2556207
779,123.3677,0.1855066
780,125.0374,0.2381242
781,115.0464,1.061279
782,129.4391,0.8088734
783,144.1244,6.057914
784,111.5791,0.9020759
785,108.8951,0.1509036
786,119.0247,0.1087421
787,129.937,6.100913
788,123.3049,0.8038207
789,128.0143,0.3820519
790,110.5764,0.05675171
791,118.5276,0.2252893
792,119.2447,0.2859899
793,111.7346,0.7189668
794,120.7091,0.1403652
795,129.1241,0.4666557
796,113.8385,0.1789744
797,133.3324,0.3910942
798,122.233,1.134368
799,109.7627,2.646393
800,145.5106,0.8887019
801,128.643,0.1573722
802,119.5825,2.711488
803,107.9788,0.8767305
804,116.8788,0.9887145
805,126.8136,3.308115
806,131.4265,4.524644
807,137.4742,3.024359
808,111.2745,0.8647223
809,112.3221,0.3526486
810,140.0776,0.9584573
811,113.327,3.656336
812,119.7299,1.430657
813,116.7155,0.2055316
814,108.0465,0.07326493
815,132.2854,0.9674477
816,108.1098,1.023009
817,124.354,0.1934745
818,115.8047,0.2053777
819,122.8014,0.2681189
