,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
440,21.10090426,0.4645395
441,NaN,NaN
442,48.75520776,3.036747
443,NaN,NaN
444,NaN,NaN
445,NaN,NaN
446,41.40777651,8.837654
447,NaN,NaN
448,NaN,NaN
449,30.0492754,2.321813
450,26.14115943,5.581865
451,45.41056425,0.9251143
452,NaN,NaN
453,20.6856346,1.035849
454,44.10173772,1.474189
455,NaN,NaN
456,NaN,NaN
457,41.61425284,4.690247
458,NaN,NaN
459,49.67879088,2.39453
460,47.78901944,0.7318467
461,47.53727192,4.782992
462,NaN,NaN
463,NaN,NaN
464,44.02538458,2.000123
465,46.61778908,3.284162
466,NaN,NaN
467,42.12148337,1.64754
468,23.81058424,0.7316549
469,46.94571119,1.677149
470,NaN,NaN
471,49.36415244,0.4644616
472,32.82578458,0.7368238
473,NaN,NaN
474,46.12656502,1.035792
475,34.36346564,7.021205
476,NaN,NaN
477,52.50392657,5.115507
478,29.40517157,3.839032
479,48.63075348,0.7342166
480,43.45524194,3.954146
481,NaN,NaN
482,44.11564569,2.097808
483,42.59510424,1.355984
484,39.11489994,10.62795
485,NaN,NaN
486,25.0752431,1.18258
487,45.72333505,0.7339913
488,45.06801605,0.7340573
489,47.13253824,0.9847758
490,NaN,NaN
491,46.7516586,5.17143
492,42.50556146,0.6561345
493,NaN,NaN
494,NaN,NaN
495,18.85080898,14.56673
496,21.19337123,0.00131611
497,NaN,NaN
498,NaN,NaN
499,44.16774555,10.15823
500,35.80569138,0.4619838
501,41.0947119,0.7376131
502,48.0644201,1.773265
503,38.358844,2.330839
504,39.88974192,2.074839
505,29.4989535,0.4659693
506,45.76103851,0.9852636
507,24.91730294,2.811834
508,49.1247327,3.94814
509,43.30552477,3.831938
510,NaN,NaN
511,NaN,NaN
512,NaN,NaN
513,42.80363736,2.6263
514,41.67594617,1.357966
515,NaN,NaN
516,23.67009921,1.774257
517,NaN,NaN
518,NaN,NaN
519,45.89403999,1.995386
520,NaN,NaN
521,49.48925122,2.376124
522,NaN,NaN
523,45.06550705,2.109817
524,42.95449286,2.64136
525,37.44640214,3.240735
526,43.47303871,1.314963
527,25.30877753,5.970725
528,34.28791846,2.386147
529,44.88446434,4.309298
530,NaN,NaN
531,NaN,NaN
532,NaN,NaN
533,44.94865702,0.4667497
534,45.77953228,1.473459
535,NaN,NaN
536,NaN,NaN
537,42.11524205,1.773535
538,22.01317383,0.9322578
539,40.56115339,1.647533
540,37.8999941,2.196369
541,38.10270069,3.302031
542,29.69346814,10.22246
543,43.07606906,1.90872
544,44.75690941,1.996915
545,NaN,NaN
546,41.86607924,1.4642
547,27.36854441,0.9852843
548,47.04420372,0.00131832
549,20.92714372,2.626457
550,NaN,NaN
551,NaN,NaN
552,NaN,NaN
553,43.07732029,1.647577
554,22.02109261,1.766711
555,47.21454272,1.182466
556,31.00945407,3.997311
557,44.08172678,1.638864
558,45.69278111,3.293713
559,51.32452019,2.081673
560,41.29433279,4.889799
561,44.60680805,1.31501
562,16.86281366,2.210277
563,27.85956218,4.929703
564,26.53722159,NaN
565,NaN,NaN
566,47.92227554,2.362643
567,43.37385039,1.357975
568,NaN,NaN
569,35.42715829,0.9852761
570,51.9951577,5.020105
571,45.24002409,0.7316068
572,23.52022691,1.970006
573,43.98631823,3.240417
574,18.67628693,1.356668
575,21.30700151,0.00131589
576,46.25163786,1.353577
577,NaN,NaN
578,NaN,NaN
579,50.16025673,0.3298358
580,21.27298626,0.00131248
581,50.50864965,1.390663
582,50.44252445,3.242329
583,NaN,NaN
584,NaN,NaN
585,NaN,NaN
586,27.12580542,2.812869
587,34.55843273,0.9276142
588,NaN,NaN
589,NaN,NaN
590,NaN,NaN
591,21.07666184,0.00131799
592,NaN,NaN
593,43.50254458,NaN
594,23.36480966,6.75529
595,NaN,NaN
596,NaN,NaN
597,NaN,NaN
598,NaN,NaN
599,42.68075208,2.07448
600,NaN,NaN
601,46.06133543,1.764068
602,43.77402951,1.473425
603,26.44517446,0.00132145
604,NaN,NaN
605,48.48199414,5.004496
606,42.11227925,3.302626
607,41.43663535,4.265701
608,NaN,NaN
609,22.16247367,0.9251551
610,NaN,NaN
611,41.52204221,6.868104
612,32.5826357,0.3274692
613,41.7381875,2.646891
614,NaN,NaN
615,44.45239865,2.095403
616,NaN,NaN
617,44.06700829,2.49633
618,33.08290542,6.459297
619,10.6034724,1.764116
620,29.16102166,1.999478
621,NaN,NaN
622,16.94888755,2.11063
623,NaN,NaN
624,NaN,NaN
625,NaN,NaN
626,33.84820453,2.648951
627,47.67308933,2.082056
628,NaN,NaN
629,NaN,NaN
630,NaN,NaN
631,22.57210937,1.041525
632,40.03865972,1.464261
633,38.97333417,2.001603
634,27.83396064,0.9330217
635,NaN,NaN
636,NaN,NaN
