,aw3d30_wgs84_SantaCatarina,aw3d30_slope_SantaCatarina
621,770.75277284,15.05928
622,128.73867481,21.41894
623,3.40077651,NaN
624,229.70563958,18.79178
625,281.77283569,16.79109
626,137.17496013,16.66078
627,108.78965499,29.42236
628,610.69668789,20.08248
629,763.73483865,2.087542
630,350.18788189,14.32486
631,NaN,NaN
632,13.97345104,5.590531
633,836.70334106,16.5923
634,203.75936049,27.88354
635,10.05592959,3.288842
636,107.71603852,22.76007
637,8.0434074,1.151917
638,135.88778087,23.19521
639,119.76379417,22.4835
640,331.195162,9.196161
641,193.24662946,22.87191
642,424.53998019,9.321716
643,7.76863941,2.382869
644,158.30317848,16.47298
645,470.61770924,15.98225
646,350.53579547,24.13275
647,20.94141217,5.131141
648,28.56239896,18.22997
649,322.48050821,22.43081
650,412.63789436,27.08753
651,NaN,NaN
652,433.79566461,2.466681
653,3.69350953,1.06694
654,354.21662162,23.06204
655,295.13734085,25.12124
656,418.58143594,24.53059
657,81.37919343,19.93465
658,210.16916278,29.16227
659,12.08355176,1.740609
660,147.71114748,24.13065
661,449.57329089,22.49678
662,9.0946398,2.772724
663,446.7590077,6.981083
664,7.48781244,2.55228
665,540.69653236,16.40205
666,87.57534326,26.04442
667,3.16096251,NaN
668,14.17097084,6.31435
669,464.47275174,23.05164
670,118.21579748,5.726165
671,747.42731234,10.31781
672,336.76530233,22.89836
673,77.54379584,8.289762
674,283.58670158,20.13318
675,6.24125339,1.046396
676,NaN,NaN
677,NaN,NaN
678,736.52746995,5.54953
679,94.3654605,20.90811
680,316.24159167,31.5617
681,8.07998802,1.048288
682,174.77769016,6.871125
683,601.37426436,19.66366
684,252.79940185,15.46768
685,301.4094249,14.46774
686,639.40727299,32.047
687,5.0273928,0.7022399
688,10.08094395,0.00136366
689,13.13635291,7.11811
690,563.82145637,13.03518
691,NaN,NaN
692,30.00645096,7.296856
693,326.65060865,25.67215
694,149.31448143,37.79409
695,780.16890487,17.51481
696,4.98999357,1.395853
697,531.5409846,6.713689
698,3.48184671,NaN
699,4.46894839,0.4650685
700,NaN,NaN
701,644.69311455,14.956
702,60.21584893,14.24528
703,182.28134093,17.2375
704,182.30970207,4.88128
705,269.51983057,38.03289
706,80.56656508,1.33369
707,330.4243512,11.87227
708,NaN,NaN
709,779.78420629,5.206119
710,180.7020647,20.81401
711,24.1568419,13.47474
712,195.48814088,21.11947
713,352.74992352,12.06614
714,310.73267424,26.43078
715,80.32416858,19.98812
716,629.76629736,2.776903
717,555.32337017,29.18949
718,NaN,NaN
