,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
309,-56.83932942,-18.41959739,1.99905699,127:127:255
310,-56.41094172,-18.68828779,1.0,255:192:192
311,-56.867237,-18.00672894,2.0,127:127:255
312,-56.90109694,-18.17960048,2.00094051,255:128:128
313,-56.88698223,-18.55262609,1.99907726,127:127:255
314,-56.16105117,-18.66527242,5.0,255:0:0
315,-56.86865179,-18.11202653,0.000951380000004,255:255:255
316,-56.26860883,-18.28104407,1.99840239,127:127:255
317,-56.45128982,-18.89280908,3.99895522,0:0:255
318,-56.09178033,-18.67439844,2.0,127:127:255
319,-56.30502924,-18.51843031,0.0,255:255:255
320,-56.27613099,-18.76494363,1.0,191:191:255
321,-56.72082287,-18.87949894,1.99903736,127:127:255
322,-56.75768155,-18.77146179,2.00095352,255:128:128
323,-56.5862088,-18.10783397,4.0,255:0:0
324,-56.81292072,-18.94374338,0.99907093,191:191:255
325,-56.74269195,-18.17405447,1.99902495,127:127:255
326,-56.70147843,-18.65666819,1.00047728,255:192:192
327,-56.51547727,-18.31163684,2.99844073,63:63:255
328,-56.64325942,-18.82706547,2.00098811,255:128:128
329,-56.11644105,-18.41406035,0.99948946,191:191:255
330,-56.42138494,-18.56059698,1.00053684,255:192:192
331,-56.47908016,-18.63504829,0.99946662,191:191:255
332,-56.39483781,-18.26897913,0.0,255:255:255
333,-56.53932295,-18.20145443,2.9989857,63:63:255
334,-56.19367138,-18.38348495,1.0,191:191:255
335,-56.13177947,-18.13629437,0.0,255:255:255
336,-56.20180105,-18.50886969,2.999495,63:63:255
337,-56.25171656,-18.94805774,0.99955391,255:192:192
338,-56.63539507,-18.34893403,2.99900522,63:63:255
339,-56.2366484,-18.29948163,0.9989309,191:191:255
340,-56.21964917,-18.16148112,2.0,127:127:255
341,-56.77877075,-18.88466197,0.000943069999991,255:255:255
342,-56.60558146,-18.59992135,5.0,255:0:0
343,-56.86258537,-18.51594726,2.00093187,255:128:128
344,-56.99342812,-18.94272017,1.99913847,127:127:255
345,-56.71137845,-18.22450198,1.00098029,255:192:192
346,-56.38877147,-18.75882819,2.0,127:127:255
347,-56.56545791,-18.7758982,0.00101123,255:255:255
348,-56.37404524,-18.78438314,1.0,191:191:255
349,-56.35165034,-18.50530848,1.998942,127:127:255
350,-56.18137796,-18.24312821,0.00107388999999,255:255:255
351,-56.33089028,-18.74326,2.0,127:127:255
352,-56.64966836,-18.24993528,2.99846136,63:63:255
353,-56.89739597,-18.50350133,0.00143097,255:255:255
354,-56.54172445,-18.77653456,34.0,255:0:0
355,-56.71290168,-18.23078338,2.00152659,255:128:128
356,-56.95896774,-18.39979641,1.99908857,127:127:255
357,-56.03583321,-18.19737831,3.00108894,255:64:64
358,-56.48635628,-18.46707278,2.0010283,255:128:128
359,-56.70917277,-18.5640868,2.0,255:128:128
360,-56.15875236,-18.63135319,3.0,63:63:255
361,-56.7348111,-18.57193043,0.99903409,191:191:255
362,-56.36997614,-18.89712028,1.99893287,127:127:255
363,-56.83883231,-18.79256289,3.99907374,0:0:255
364,-56.76803474,-18.52733709,3.99904191,0:0:255
365,-56.08309778,-18.01535481,1.0,255:192:192
366,-56.11029417,-18.94745786,2.0,255:128:128
367,-56.67235065,-18.3076883,2.00098709,255:128:128
368,-56.65079908,-18.95561507,3.00098438,255:64:64
