,tdx12_RioClaro,tdx30_RioClaro,srtm30_RioClaro,srtm30_wgs84_RioClaro,aster30_RioClaro,aster30_wgs84_RioClaro,aw3d30_RioClaro,aw3d30_wgs84_RioClaro
4552,645.5223,647.3088,662.0,657.85730048,653.0,648.85730048,651.0,646.85700237
4553,625.0017,624.8389,635.0,631.82706938,636.0,632.82706938,634.0,630.82718563
4554,585.1559,584.953,596.0,592.28494527,587.0,583.28494527,596.0,592.28508309
4555,557.4481,556.8676,563.0,560.065968,545.0,542.065968,565.0,562.065968
4556,620.5989,621.6134,628.0,624.71985203,618.0,614.71985203,624.0,620.71985203
4557,627.9676,630.5366,640.0,636.67207113,635.0,631.67207113,638.0,634.67207113
4558,612.6547,610.7151,617.0,613.36570184,619.0,615.36570184,620.0,616.36584532
4559,657.6747,657.3918,669.0,664.75105211,668.0,663.75105211,669.0,664.75074893
4560,479.4214,479.0301,491.0,487.33885059,505.0,501.33885059,489.0,485.33931399
4561,482.536,483.2456,490.0,486.99354786,483.0,479.99354786,489.0,485.99354786
4562,636.5546,637.2065,645.0,641.42160776,639.0,635.42160776,647.0,643.42131231
4563,592.5282,592.7369,605.0,600.90844357,603.0,598.90844357,601.0,596.90844357
4564,575.9324,576.307,589.0,586.04863491,573.0,570.04863491,587.0,584.04863491
4565,546.6467,547.8874,557.0,553.90355287,551.0,547.90355287,555.0,551.90364927
4566,644.756,644.178,652.0,648.41195164,642.0,638.41195164,653.0,649.41195164
4567,456.7024,456.7352,466.0,462.82607729,464.0,460.82607729,464.0,460.82621655
4568,642.1564,640.7339,653.0,649.9896766,651.0,647.9896766,652.0,648.9896766
4569,1005.438,1005.022,1014.0,1009.96545225,1012.0,1007.96545225,1014.0,1009.96564546
4570,633.3984,633.0538,644.0,639.69543741,632.0,627.69543741,642.0,637.69543741
4571,611.4287,610.8168,620.0,616.69339683,619.0,615.69339683,619.0,615.69339683
4572,687.3917,686.7944,698.0,693.17837878,700.0,695.17837878,696.0,691.17859938
4573,652.5477,653.2568,660.0,655.77349845,656.0,651.77349845,661.0,656.77301201
4574,531.1244,532.5623,542.0,538.22058551,550.0,546.22058551,542.0,538.22123501
4575,734.8356,734.7594,743.0,738.60770226,749.0,744.60770226,744.0,739.60791213
4576,563.6464,563.1332,570.0,566.04722107,577.0,573.04722107,573.0,569.04737478
4577,878.9087,879.5728,890.0,885.87451793,894.0,889.87451793,891.0,886.87472089
4578,513.8395,513.3273,522.0,518.53409742,524.0,520.53409742,519.0,515.5342611
4579,669.9048,670.1356,676.0,671.91309949,688.0,683.91309949,677.0,672.91309949
4580,573.6162,573.4269,585.0,581.22652021,570.0,566.22652021,583.0,579.22665341
4581,657.9935,657.7043,665.0,662.01869035,660.0,657.01869035,667.0,664.01869035
4582,536.7772,534.1838,544.0,540.84277322,526.0,522.84277322,545.0,541.84314827
4583,550.1434,545.3232,556.0,552.14640069,554.0,550.14640069,559.0,555.14610353
4584,497.2574,497.1845,506.0,502.98544347,501.0,497.98544347,506.0,502.98555504
4585,635.5037,635.8703,645.0,641.39824759,647.0,643.39824759,644.0,640.39781703
4586,525.4724,525.8889,533.0,529.88109173,531.0,527.88109173,535.0,531.8812182
4587,727.7941,726.0762,734.0,729.34869894,733.0,728.34869894,738.0,733.34890328
4588,635.4044,632.5634,643.0,638.5193554,639.0,634.5193554,645.0,640.5193554
4589,630.9083,631.5843,638.0,634.9269263,640.0,636.9269263,638.0,634.92703516
4590,599.9866,600.2473,609.0,605.38975789,608.0,604.38975789,606.0,602.38975789
4591,555.6622,556.4713,563.0,559.50061194,570.0,566.50061194,569.0,565.50077998
4592,593.6027,595.2424,608.0,604.98477386,611.0,607.98477386,609.0,605.98477386
4593,638.132,637.8469,645.0,640.7186041,653.0,648.7186041,641.0,636.7186041
4594,600.5781,601.2795,609.0,605.69171832,597.0,593.69171832,609.0,605.69210525
4595,656.235,654.7934,661.0,657.12741029,654.0,650.12741029,663.0,659.12741029
4596,581.9188,577.9724,585.0,580.81336907,580.0,575.81336907,583.0,578.81353789
4597,621.3213,622.0079,634.0,630.48612255,629.0,625.48612255,630.0,626.48626321
4598,712.7251,712.8488,722.0,717.99148911,733.0,728.99148911,722.0,717.99148911
